ID,MW,MVAr,InService
"load-1-1",108.000,22.000,true
"load-2-1",97.000,20.000,true
"load-3-1",180.000,37.000,true
"load-4-1",74.000,15.000,true
"load-5-1",71.000,14.000,true
"load-6-1",136.000,28.000,true
"load-7-1",125.000,25.000,true
"load-8-1",171.000,35.000,true
"load-9-1",175.000,36.000,true
"load-10-1",195.000,40.000,true
"load-13-1",745.000,54.000,true
"load-14-1",80.400,39.000,true
"load-15-1",131.400,64.000,true
"load-16-1",100.000,20.000,true
"load-18-1",333.000,68.000,true
"load-19-1",75.100,37.000,true
"load-20-1",53.100,26.000,true
