ID,SynchronousMachine,MW,MinMVAr,MaxMVAr
"smvarcrv-1-1","sm-1-1",15.800,0.000,10.000
"smvarcrv-1-1","sm-1-1",20.000,0.000,10.000
"smvarcrv-1-10","sm-1-10",15.800,0.000,10.000
"smvarcrv-1-10","sm-1-10",20.000,0.000,10.000
"smvarcrv-1-11","sm-1-11",15.200,-25.000,30.000
"smvarcrv-1-11","sm-1-11",76.000,-25.000,30.000
"smvarcrv-1-12","sm-1-12",15.200,-25.000,30.000
"smvarcrv-1-12","sm-1-12",76.000,-25.000,30.000
"smvarcrv-2-1","sm-2-1",15.800,0.000,10.000
"smvarcrv-2-1","sm-2-1",20.000,0.000,10.000
"smvarcrv-2-2","sm-2-2",15.800,0.000,10.000
"smvarcrv-2-2","sm-2-2",20.000,0.000,10.000
"smvarcrv-2-3","sm-2-3",15.200,-25.000,30.000
"smvarcrv-2-3","sm-2-3",76.000,-25.000,30.000
"smvarcrv-2-4","sm-2-4",15.200,-25.000,30.000
"smvarcrv-2-4","sm-2-4",76.000,-25.000,30.000
"smvarcrv-7-1","sm-7-1",25.000,0.000,60.000
"smvarcrv-7-1","sm-7-1",100.000,0.000,60.000
"smvarcrv-7-2","sm-7-2",25.000,0.000,60.000
"smvarcrv-7-2","sm-7-2",100.000,0.000,60.000
"smvarcrv-7-3","sm-7-3",25.000,0.000,60.000
"smvarcrv-7-3","sm-7-3",100.000,0.000,60.000
"smvarcrv-13-1","sm-13-1",68.950,0.000,80.000
"smvarcrv-13-1","sm-13-1",197.000,0.000,80.000
"smvarcrv-13-2","sm-13-2",68.950,0.000,80.000
"smvarcrv-13-2","sm-13-2",197.000,0.000,80.000
"smvarcrv-13-3","sm-13-3",68.950,0.000,80.000
"smvarcrv-13-3","sm-13-3",197.000,0.000,80.000
"smvarcrv-14-1","sm-14-1",0.000,-50.000,200.000
"smvarcrv-14-1","sm-14-1",0.000,-50.000,200.000
"smvarcrv-15-1","sm-15-1",2.400,0.000,6.000
"smvarcrv-15-1","sm-15-1",12.000,0.000,6.000
"smvarcrv-15-2","sm-15-2",2.400,0.000,6.000
"smvarcrv-15-2","sm-15-2",12.000,0.000,6.000
"smvarcrv-15-3","sm-15-3",2.400,0.000,6.000
"smvarcrv-15-3","sm-15-3",12.000,0.000,6.000
"smvarcrv-15-4","sm-15-4",2.400,0.000,6.000
"smvarcrv-15-4","sm-15-4",12.000,0.000,6.000
"smvarcrv-15-5","sm-15-5",2.400,0.000,6.000
"smvarcrv-15-5","sm-15-5",12.000,0.000,6.000
"smvarcrv-15-6","sm-15-6",54.250,-50.000,80.000
"smvarcrv-15-6","sm-15-6",155.000,-50.000,80.000
"smvarcrv-16-1","sm-16-1",54.250,-50.000,80.000
"smvarcrv-16-1","sm-16-1",155.000,-50.000,80.000
"smvarcrv-18-1","sm-18-1",100.000,-50.000,200.000
"smvarcrv-18-1","sm-18-1",400.000,-50.000,200.000
"smvarcrv-21-1","sm-21-1",100.000,-50.000,200.000
"smvarcrv-21-1","sm-21-1",400.000,-50.000,200.000
"smvarcrv-22-1","sm-22-1",0.000,-10.000,16.000
"smvarcrv-22-1","sm-22-1",50.000,-10.000,16.000
"smvarcrv-22-2","sm-22-2",0.000,-10.000,16.000
"smvarcrv-22-2","sm-22-2",50.000,-10.000,16.000
"smvarcrv-22-3","sm-22-3",0.000,-10.000,16.000
"smvarcrv-22-3","sm-22-3",50.000,-10.000,16.000
"smvarcrv-22-4","sm-22-4",0.000,-10.000,16.000
"smvarcrv-22-4","sm-22-4",50.000,-10.000,16.000
"smvarcrv-22-5","sm-22-5",0.000,-10.000,16.000
"smvarcrv-22-5","sm-22-5",50.000,-10.000,16.000
"smvarcrv-22-6","sm-22-6",0.000,-10.000,16.000
"smvarcrv-22-6","sm-22-6",50.000,-10.000,16.000
"smvarcrv-23-1","sm-23-1",54.250,-50.000,80.000
"smvarcrv-23-1","sm-23-1",155.000,-50.000,80.000
"smvarcrv-23-2","sm-23-2",54.250,-50.000,80.000
"smvarcrv-23-2","sm-23-2",155.000,-50.000,80.000
"smvarcrv-23-3","sm-23-3",140.000,-25.000,150.000
"smvarcrv-23-3","sm-23-3",350.000,-25.000,150.000
