"ID","Name","Circuit","Node1","Node2","R","X","Bch","NormalOperatingLimit","ShortTermLimit","EmergencyLimit"
"ln-1-2-1","1-2","1","1","2",0.0026,0.0139,0.4611,175,200,200
"ln-1-3-1","1-3","1","1","3",0.0546,0.2112,0.0572,175,220,220
"ln-1-5-1","1-5","1","1","5",0.0218,0.0845,0.0229,175,220,220
"ln-2-4-1","2-4","1","2","4",0.0328,0.1267,0.0343,175,220,220
"ln-2-6-1","2-6","1","2","6",0.0497,0.192,0.052,175,220,220
"ln-3-9-1","3-9","1","3","9",0.0308,0.119,0.0322,175,220,220
"ln-4-9-1","4-9","1","4","9",0.0268,0.1037,0.0281,175,220,220
"ln-5-10-2","5-10","2","5","10",0.0228,0.0883,0.0239,175,220,220
"ln-6-10-1","6-10","1","6","10",0.0139,0.0605,2.459,175,200,200
"ln-7-8-1","7-8","1","7","8",0.0159,0.0614,0.0166,175,220,220
"ln-8-9-1","8-9","1","8","9",0.0427,0.1651,0.0447,175,220,220
"ln-8-10-1","8-10","1","8","10",0.0427,0.1651,0.0447,175,220,220
"ln-11-13-1","11-13","1","11","13",0.0061,0.0476,0.0999,500,625,625
"ln-11-14-1","11-14","1","11","14",0.0054,0.0418,0.0879,500,625,625
"ln-12-13-1","12-13","1","12","13",0.0061,0.0476,0.0999,500,625,625
"ln-12-23-1","12-23","1","12","23",0.0124,0.0966,0.203,500,625,625
"ln-13-23-1","13-23","1","13","23",0.0111,0.0865,0.1818,500,625,625
"ln-14-16-1","14-16","1","14","16",0.005,0.0389,0.0818,315,393.75,393.75
"ln-15-16-1","15-16","1","15","16",0.0022,0.0173,0.0364,500,625,625
"ln-15-21-1","15-21","1","15","21",0.0063,0.049,0.103,500,625,625
"ln-15-21-2","15-21","2","15","21",0.0063,0.049,0.103,500,625,625
"ln-15-24-1","15-24","1","15","24",0.0067,0.0519,0.1091,500,625,625
"ln-16-17-1","16-17","1","16","17",0.0033,0.0259,0.0545,500,625,625
"ln-16-19-1","16-19","1","16","19",0.003,0.0231,0.0485,500,625,625
"ln-17-18-1","17-18","1","17","18",0.0018,0.0144,0.0303,500,625,625
"ln-17-22-1","17-22","1","17","22",0.0135,0.1053,0.2212,500,625,625
"ln-18-21-1","18-21","1","18","21",0.0033,0.0259,0.0545,500,625,625
"ln-18-21-2","18-21","2","18","21",0.0033,0.0259,0.0545,500,625,625
"ln-19-20-1","19-20","1","19","20",0.0051,0.0396,0.0833,150,200,200
"ln-19-20-2","19-20","2","19","20",0.0051,0.0396,0.0833,150,200,200
"ln-20-23-1","20-23","1","20","23",0.0028,0.0216,0.0455,150,200,200
"ln-20-23-2","20-23","2","20","23",0.0028,0.0216,0.0455,150,200,200
"ln-21-22-1","21-22","1","21","22",0.0087,0.0678,0.1424,500,625,625
