ID,AVRMode,KVSetPoint,MVArSetpoint,MVAr,InService,pusp,basekv
sm-1-1,true,144.8999992203,,5.3201936857,true,1.0499999943,138
sm-1-10,true,144.8999992203,,5.3201936857,true,1.0499999943,138
sm-1-11,true,144.8999992203,,12.1348992561,true,1.0499999943,138
sm-1-12,true,144.8999992203,,12.1348992561,true,1.0499999943,138
sm-2-1,true,144.8999968609,,5.0277449136,true,1.0499999773,138
sm-2-2,true,144.8999968609,,5.0277449136,true,1.0499999773,138
sm-2-3,true,144.8999968609,,5.4959110781,true,1.0499999773,138
sm-2-4,true,144.8999968609,,5.4959110781,true,1.0499999773,138
sm-7-1,true,144.8999963745,,19.9370242673,true,1.0499999737,138
sm-7-2,true,144.8999963745,,19.9370242673,true,1.0499999737,138
sm-7-3,true,144.8999963745,,19.9370242673,true,1.0499999737,138
sm-13-1,true,237.8944885089,,79.9999853927,true,1.0343238631,230
sm-13-2,true,237.8944885089,,79.9999853927,true,1.0343238631,230
sm-13-3,true,237.8944885089,,79.9999853927,true,1.0343238631,230
sm-14-1,true,219.4301785703,,-42.6371082775,true,0.9540442547,230
sm-15-1,true,224.3821741123,,5.9999755268,true,0.9755746701,230
sm-15-2,true,224.3821741123,,5.9999755268,true,0.9755746701,230
sm-15-3,true,224.3821741123,,5.9999755268,true,0.9755746701,230
sm-15-4,true,224.3821741123,,5.9999755268,true,0.9755746701,230
sm-15-5,true,224.3821741123,,5.9999755268,true,0.9755746701,230
sm-15-6,true,224.3821741123,,79.9999755343,true,0.9755746701,230
sm-16-1,true,223.3859861099,,-49.9999876839,true,0.9712434179,230
sm-18-1,true,223.4960988923,,-49.9999498529,true,0.9717221691,230
sm-21-1,true,227.3101866716,,160.5221004087,true,0.9883051594,230
sm-22-1,true,223.2617725399,,-9.9999388169,true,0.9707033589,230
sm-22-2,true,223.2617725399,,-9.9999388169,true,0.9707033589,230
sm-22-3,true,223.2617725399,,-9.9999388169,true,0.9707033589,230
sm-22-4,true,223.2617725399,,-9.9999388169,true,0.9707033589,230
sm-22-5,true,223.2617725399,,-9.9999388169,true,0.9707033589,230
sm-22-6,true,223.2617725399,,-9.9999388169,true,0.9707033589,230
sm-23-1,true,241.4999995385,,45.4761812779,true,1.049999998,230
sm-23-2,true,241.4999995385,,45.4761812779,true,1.049999998,230
sm-23-3,true,241.4999995385,,112.3562866481,true,1.049999998,230
