ID,GeneratingUnit,FROMP,TOP,FROMPRICE,TOPRICE
1,gen-1004-1,0,211,0,0
2,gen-1006-1,0,34.3,0,0
3,gen-1009-1,0,82.5,0,0
4,gen-1011-1,0,10,0,0
5,gen-1021-1,0,199.5,0,0
6,gen-1023-1,0,180,0,0
7,gen-1026-1,0,124.2,0,0
8,gen-1033-1,0,278,0,0
9,gen-1035-1,0,90,0,0
10,gen-1039-1,0,147.5,0,0
11,gen-1042-1,0,121.9,0,0
12,gen-1043-1,0,58.8,0,0
13,gen-1048-1,0,325.2,18.641,18.641
14,gen-1049-1,0,325.2,18.641,18.641
15,gen-1050-1,0,89.4,17.464,17.464
16,gen-1051-1,0,89.4,17.464,17.464
17,gen-1052-1,0,89.4,17.464,17.464
18,gen-1053-1,0,178.8,17.91,17.91
19,gen-1057-1,0,120,0,0
20,gen-1059-1,0,5.6,17.046,17.046
21,gen-1060-1,0,2,17.028,17.028
22,gen-1062-1,0,1.5,0,0
23,gen-1063-1,0,230,0,0
24,gen-1066-1,0,142.5,0,0
25,gen-1070-1,0,160.5,0,0
26,gen-1072-1,0,192.13,17.977,17.977
27,gen-1073-1,0,192.13,17.977,17.977
28,gen-1074-1,0,192.13,17.977,17.977
29,gen-1075-1,0,192.13,17.977,17.977
30,gen-1076-1,0,192.13,17.977,17.977
31,gen-1077-1,0,192.13,17.977,17.977
32,gen-1078-1,0,95.5,17.495,17.495
33,gen-1079-1,0,95.5,17.495,17.495
34,gen-1080-1,0,95.5,17.495,17.495
35,gen-1081-1,0,286.5,18.448,18.448
36,gen-1082-1,0,150,0,0
37,gen-1084-1,0,115.5,0,0
38,gen-1088-1,0,75,0,0
39,gen-1090-1,0,152.5,0,0
40,gen-1090-2,0,36,0,0
41,gen-2004-1,0,391.8,27.494,27.494
42,gen-2005-1,0,391.8,27.494,27.494
43,gen-2006-1,0,391.8,27.494,27.494
44,gen-2013-1,0,200.6,0,0
45,gen-2019-1,0,218,0,0
46,gen-2023-1,0,83.33,16.989,16.989
47,gen-2024-1,0,166.67,17.394,17.394
48,gen-2042-1,0,79.6,0,0
49,gen-2056-1,0,6,17.268,17.268
50,gen-2057-1,0,720,17.268,17.268
51,gen-2059-1,0,80,0,0
52,gen-2062-1,0,135.4,0,0
53,gen-2071-1,0,150,0,0
54,gen-2076-1,0,30,0,0
55,gen-2078-1,0,112.5,0,0
56,gen-2083-1,0,20,16.033,16.033
57,gen-2084-1,0,20,16.033,16.033
58,gen-2085-1,0,40,16.126,16.126
59,gen-2089-1,0,67.6,0,0
60,gen-2094-1,0,10,0,0
61,gen-2095-1,0,79.5,0,0
62,gen-2099-1,0,10,0,0
63,gen-2100-1,0,150,0,0
64,gen-2103-1,0,267.73,26.597,26.597
65,gen-2104-1,0,267.73,26.597,26.597
66,gen-2105-1,0,267.73,26.597,26.597
67,gen-2115-1,0,184.72,17.482,17.482
68,gen-2116-1,0,184.72,17.482,17.482
69,gen-2117-1,0,184.72,17.482,17.482
70,gen-2118-1,0,184.72,17.482,17.482
71,gen-2119-1,0,184.72,17.482,17.482
72,gen-2120-1,0,184.72,17.482,17.482
73,gen-2123-1,0,181.7,0,0
74,gen-2127-1,0,288.6,0,0
75,gen-3004-1,0,37.5,0,0
76,gen-3017-1,0,169.5,0,0
77,gen-3020-1,0,150,0,0
78,gen-3028-1,0,200,0,0
79,gen-3034-1,0,130.5,0,0
80,gen-3039-1,0,209,0,0
81,gen-3043-1,0,1.3,19.197,19.197
82,gen-3044-1,0,89.4,19.693,19.693
83,gen-3045-1,0,447,21.704,21.704
84,gen-3048-1,0,241,0,0
85,gen-3055-1,0,245.17,0,0
86,gen-3056-1,0,245.17,0,0
87,gen-3057-1,0,245.17,0,0
88,gen-3060-1,0,165.63,0,0
89,gen-3061-1,0,165.63,0,0
90,gen-3062-1,0,165.63,0,0
91,gen-3063-1,0,165.63,0,0
92,gen-3065-1,0,80.5,0,0
93,gen-3068-1,0,150,0,0
94,gen-3071-1,0,170.2,0,0
95,gen-3074-1,0,99.8,0,0
96,gen-3081-1,0,249,0,0
97,gen-3084-1,0,232.5,0,0
98,gen-3086-1,0,75,0,0
99,gen-3087-1,0,75,0,0
100,gen-3092-1,0,200,0,0
101,gen-3095-1,0,120.6,0,0
102,gen-3098-1,0,160,0,0
103,gen-3105-1,0,15,0,0
104,gen-3106-1,0,54.9,0,0
105,gen-3110-1,0,84,0,0
106,gen-3112-1,0,74.8,0,0
107,gen-3113-1,0,74.8,0,0
108,gen-3117-1,0,63,0,0
109,gen-3118-1,0,120,0,0
110,gen-3120-1,0,39.6,0,0
111,gen-3122-1,0,197,0,0
112,gen-3127-1,0,135,0,0
113,gen-3129-1,0,126.5,0,0
114,gen-3131-1,0,114,0,0
115,gen-3133-1,0,51.3,19.478,19.478
116,gen-3133-2,0,51.3,19.478,19.478
117,gen-3133-3,0,51.3,19.478,19.478
118,gen-3137-1,0,101.2,0,0
119,gen-3141-1,0,91.5,0,0
120,gen-4010-1,0,201.6,0,0
121,gen-4026-1,0,410,17.172,17.172
122,gen-4030-1,0,622.4,17.172,17.172
123,gen-4045-1,0,31.5,0,0
124,gen-4046-1,0,9.6,0,0
125,gen-4047-1,0,66,0,0
126,gen-4050-1,0,200,0,0
127,gen-4052-1,0,44.2,16.73,16.73
128,gen-4058-1,0,144,17.213,17.213
129,gen-4059-1,0,144,17.213,17.213
130,gen-4060-1,0,144,17.213,17.213
131,gen-4061-1,0,172.33,17.35,17.35
132,gen-4062-1,0,172.33,17.35,17.35
133,gen-4063-1,0,172.33,17.35,17.35
134,gen-4065-1,0,47,16.743,16.743
135,gen-4075-1,0,176.33,29.085,29.085
136,gen-4076-1,0,176.33,29.085,29.085
137,gen-4077-1,0,176.33,29.085,29.085
138,gen-4082-1,0,243.4,17.694,17.694
139,gen-4083-1,0,243.4,17.694,17.694
140,gen-4084-1,0,243.4,17.694,17.694
141,gen-4085-1,0,352,18.22,18.22
142,gen-4090-1,0,1.4,17.172,17.172
143,gen-4091-1,0,23.5,17.172,17.172
144,gen-4092-1,0,7.6,17.172,17.172
145,gen-4093-1,0,28,17.172,17.172
146,gen-4094-1,0,28,17.172,17.172
147,gen-4095-1,0,28,17.172,17.172
148,gen-4096-1,0,28,17.172,17.172
149,gen-4097-1,0,28,17.172,17.172
150,gen-4098-1,0,28,17.172,17.172
151,gen-4105-1,0,180,0,0
152,gen-4115-1,0,131.8,28.724,28.724
153,gen-4116-1,0,131.8,28.724,28.724
154,gen-4133-1,0,33.6,27.928,27.928
155,gen-4134-1,0,33.6,27.928,27.928
156,gen-4135-1,0,33.6,27.928,27.928
157,gen-4136-1,0,33.6,27.928,27.928
158,gen-4137-1,0,67.2,28.2,28.2
159,gen-4138-1,0,66,28.19,28.19
160,gen-4142-1,0,188,0,0
161,gen-4153-1,0,283.2,0,0
162,gen-4160-1,0,197.77,17.473,17.473
163,gen-4161-1,0,197.77,17.473,17.473
164,gen-4162-1,0,197.77,17.473,17.473
165,gen-4163-1,0,9,16.559,16.559
166,gen-4166-1,0,201,0,0
167,gen-4177-1,0,150,0,0
168,gen-4181-1,0,200.1,0,0
169,gen-4183-1,0,203,0,0
170,gen-4192-1,0,75,16.879,16.879
171,gen-4192-10,0,183.77,17.405,17.405
172,gen-4192-2,0,24,16.632,16.632
173,gen-4192-3,0,61,16.811,16.811
174,gen-4192-4,0,10.4,16.566,16.566
175,gen-4192-5,0,267,17.808,17.808
176,gen-4192-6,0,267,17.808,17.808
177,gen-4192-7,0,267,17.808,17.808
178,gen-4192-8,0,183.77,17.405,17.405
179,gen-4192-9,0,183.77,17.405,17.405
180,gen-5002-1,0,201.6,0,0
181,gen-5020-1,0,120,0,0
182,gen-5023-1,0,4.8,15.962,15.962
183,gen-5035-1,0,4.2,15.177,15.177
184,gen-5036-1,0,6.4,15.186,15.186
185,gen-5037-1,0,308.47,16.529,16.529
186,gen-5038-1,0,308.47,16.529,16.529
187,gen-5039-1,0,308.47,16.529,16.529
188,gen-5040-1,0,308.47,16.529,16.529
189,gen-5041-1,0,308.47,16.529,16.529
190,gen-5042-1,0,308.47,16.529,16.529
191,gen-5051-1,0,84.7,16.996,16.996
193,gen-5057-1,0,317.35,17.435,17.435
194,gen-5058-1,0,317.35,17.422,17.422
195,gen-5065-1,0,10.6,15.989,15.989
196,gen-5066-1,0,1.8,15.948,15.948
197,gen-5067-1,0,438.27,17.987,17.987
198,gen-5068-1,0,438.27,17.987,17.987
199,gen-5069-1,0,438.27,17.987,17.987
200,gen-5089-1,0,41.8,0,0
201,gen-5106-1,0,10.8,17.966,17.966
202,gen-5107-1,0,5.7,17.966,17.966
203,gen-5166-1,0,126.5,16.531,16.531
204,gen-5167-1,0,1.6,15.947,15.947
205,gen-5170-1,0,60,0,0
206,gen-5198-1,0,150,0,0
207,gen-5206-1,0,248.67,17.101,17.101
208,gen-5207-1,0,248.67,17.101,17.101
209,gen-5208-1,0,248.67,17.101,17.101
210,gen-5238-1,0,225,0,0
211,gen-5243-1,0,150,0,0
212,gen-5262-1,0,1215,6.975,6.975
213,gen-5263-1,0,1215,8.11,8.11
214,gen-5281-1,0,267.73,19.596,19.596
215,gen-5282-1,0,267.73,19.596,19.596
216,gen-5283-1,0,267.73,19.596,19.596
217,gen-5297-1,0,3.2,16.6,16.6
218,gen-5298-1,0,115,17.143,17.143
219,gen-5299-1,0,115,17.143,17.143
220,gen-5300-1,0,115,17.143,17.143
221,gen-5301-1,0,82.7,16.986,16.986
222,gen-5302-1,0,463.75,18.839,18.839
223,gen-5303-1,0,463.75,18.839,18.839
224,gen-5319-1,0,262.8,19.57,19.57
225,gen-5320-1,0,262.8,19.57,19.57
226,gen-5321-1,0,262.8,19.57,19.57
227,gen-5324-1,0,284.07,16.42,16.42
228,gen-5325-1,0,284.07,16.42,16.42
229,gen-5326-1,0,284.07,16.42,16.42
230,gen-5342-1,0,2.8,0,0
231,gen-5343-1,0,70,0,0
232,gen-5360-1,0,1008,18.671,18.671
233,gen-5363-1,0,10.4,15.988,15.988
234,gen-5364-1,0,213.33,16.936,16.936
235,gen-5365-1,0,213.33,16.936,16.936
236,gen-5366-1,0,213.33,16.936,16.936
237,gen-5367-1,0,213.33,16.936,16.936
238,gen-5368-1,0,213.33,16.936,16.936
239,gen-5369-1,0,213.33,16.936,16.936
240,gen-5382-1,0,209,16.087,16.087
241,gen-5383-1,0,209,16.087,16.087
242,gen-5399-1,0,165.6,0,0
243,gen-5403-1,0,89.4,16.357,16.357
244,gen-5404-1,0,89.4,16.357,16.357
245,gen-5405-1,0,89.4,16.357,16.357
246,gen-5406-1,0,89.4,16.357,16.357
247,gen-5415-1,0,122,16.51,16.51
248,gen-5416-1,0,122,16.51,16.51
249,gen-5417-1,0,122,16.51,16.51
250,gen-5418-1,0,118.8,16.495,16.495
251,gen-5419-1,0,118.8,16.495,16.495
252,gen-5423-1,0,12.4,15.998,15.998
253,gen-5424-1,0,3.2,15.955,15.955
254,gen-5444-1,0,289,19.71,19.71
255,gen-5444-2,0,289,19.71,19.71
256,gen-5444-3,0,289,19.71,19.71
257,gen-5444-4,0,289,19.71,19.71
258,gen-5444-5,0,289,19.71,19.71
259,gen-5444-6,0,289,19.71,19.71
260,gen-5444-7,0,141.3,18.923,18.923
261,gen-5444-8,0,141.3,18.923,18.923
262,gen-6006-1,0,213,17.595,17.595
263,gen-6007-1,0,426,18.629,18.629
264,gen-6008-1,0,198.33,17.524,17.524
265,gen-6009-1,0,198.33,17.524,17.524
266,gen-6010-1,0,198.33,17.524,17.524
267,gen-6041-1,0,18,0,0
268,gen-6042-1,0,108,0,0
269,gen-6048-1,0,3.4,15.388,15.388
270,gen-6049-1,0,9.6,15.416,15.416
271,gen-6050-1,0,4.4,15.393,15.393
272,gen-6051-1,0,57.4,15.631,15.631
273,gen-6052-1,0,57.4,15.631,15.631
274,gen-6053-1,0,57.4,15.631,15.631
275,gen-6054-1,0,57.4,15.631,15.631
276,gen-6069-1,0,181.37,17.442,17.442
277,gen-6070-1,0,181.37,17.442,17.442
278,gen-6071-1,0,181.37,17.442,17.442
279,gen-6072-1,0,181.37,17.442,17.442
