"ID","MW","MWSetPoint","GeneratorOperatingMode","InService","MinOperatingMW","MaxOperatingMW","RampRate"
"gen-1004-1",134.7486,134.63864,LFC,true,63.3,211.0,0.0
"gen-1006-1",28.409603,28.391727,LFC,true,10.29,34.3,0.0
"gen-1009-1",21.351217,21.306116,LFC,true,24.75,82.5,0.0
"gen-1011-1",2.5880265,2.5825596,LFC,true,3.0,10.0,0.0
"gen-1021-1",165.23955,165.13557,LFC,true,59.85,199.5,0.0
"gen-1023-1",149.08827,148.99446,LFC,true,54.0,180.0,0.0
"gen-1026-1",102.87094,102.80621,LFC,true,37.26,124.2,0.0
"gen-1033-1",71.94713,71.79514,LFC,true,83.4,278.0,0.0
"gen-1035-1",74.544136,74.49723,LFC,true,27.0,90.0,0.0
"gen-1039-1",38.173386,38.09275,LFC,true,44.25,147.5,0.0
"gen-1043-1",48.70218,48.671535,LFC,true,17.64,58.8,0.0
"gen-1050-1",89.39772,89.4,LFC,true,26.82,89.4,4.47
"gen-1051-1",89.39772,89.4,LFC,true,26.82,89.4,4.47
"gen-1052-1",89.39772,89.4,LFC,true,26.82,89.4,4.47
"gen-1066-1",94.08493,94.010666,LFC,true,42.75,142.5,0.0
"gen-1070-1",41.537827,41.450085,LFC,true,48.15,160.5,0.0
"gen-1072-1",57.740128,57.64,LFC,true,57.64,192.13,9.6065
"gen-1073-1",57.740128,57.64,LFC,true,57.64,192.13,9.6065
"gen-1074-1",57.740128,57.64,LFC,true,57.64,192.13,9.6065
"gen-1075-1",57.740128,57.64,LFC,true,57.64,192.13,9.6065
"gen-1078-1",28.699774,28.650002,LFC,true,28.65,95.5,4.775
"gen-1079-1",70.115845,70.06608,LFC,true,28.65,95.5,4.775
"gen-1080-1",28.699774,28.650002,LFC,true,28.65,95.5,4.775
"gen-1082-1",38.820396,38.73839,LFC,true,45.0,150.0,0.0
"gen-1084-1",95.66498,95.60478,LFC,true,34.65,115.5,0.0
"gen-1088-1",19.410198,19.369196,LFC,true,22.5,75.0,0.0
"gen-1090-1",126.310936,126.23145,LFC,true,45.75,152.5,0.0
"gen-1090-2",29.817665,29.7989,LFC,true,10.8,36.0,0.0
"gen-2013-1",114.40563,114.30109,LFC,true,60.18,200.6,0.0
"gen-2023-1",83.32787,83.33,LFC,true,25.0,83.33,4.1665
"gen-2024-1",166.66574,166.67,LFC,true,50.0,166.67,8.3335
"gen-2042-1",65.93019,65.8887,LFC,true,23.88,79.6,0.0
"gen-2057-1",596.4655,596.0903,LFC,true,216.0,720.0,14.4
"gen-2059-1",66.26146,66.219765,LFC,true,24.0,80.0,0.0
"gen-2062-1",112.14752,112.07695,LFC,true,40.62,135.4,0.0
"gen-2071-1",83.79551,83.71733,LFC,true,45.0,150.0,0.0
"gen-2076-1",24.848053,24.832417,LFC,true,9.0,30.0,0.0
"gen-2078-1",93.180176,93.121544,LFC,true,33.75,112.5,0.0
"gen-2083-1",19.999489,20.0,LFC,true,6.0,20.0,1.0
"gen-2089-1",55.990936,55.955704,LFC,true,20.28,67.6,0.0
"gen-2099-1",8.282682,8.277471,LFC,true,3.0,10.0,0.0
"gen-2100-1",124.24026,124.16208,LFC,true,45.0,150.0,0.0
"gen-2115-1",55.506264,55.409996,LFC,true,55.41,184.72,9.236
"gen-2116-1",55.506264,55.409996,LFC,true,55.41,184.72,9.236
"gen-2117-1",55.506264,55.409996,LFC,true,55.41,184.72,9.236
"gen-2118-1",55.506264,55.409996,LFC,true,55.41,184.72,9.236
"gen-2119-1",55.506264,55.409996,LFC,true,55.41,184.72,9.236
"gen-2120-1",55.506264,55.409996,LFC,true,55.41,184.72,9.236
"gen-2123-1",150.49632,150.40163,LFC,true,54.51,181.7,0.0
"gen-2127-1",239.03816,238.88776,LFC,true,86.58,288.6,0.0
"gen-3004-1",31.060064,31.04052,LFC,true,11.25,37.5,0.0
"gen-3017-1",133.59053,133.50218,LFC,true,50.85,169.5,0.0
"gen-3020-1",38.820396,38.73839,LFC,true,45.0,150.0,0.0
"gen-3028-1",132.20453,132.1003,LFC,true,60.0,200.0,0.0
"gen-3034-1",98.702934,98.63492,LFC,true,39.15,130.5,0.0
"gen-3039-1",173.10806,172.99915,LFC,true,62.7,209.0,0.0
"gen-3048-1",199.61267,199.48706,LFC,true,72.3,241.0,0.0
"gen-3055-1",203.0666,202.93881,LFC,true,73.55,245.17,0.0
"gen-3056-1",203.0666,202.93881,LFC,true,73.55,245.17,0.0
"gen-3057-1",203.0666,202.93881,LFC,true,73.55,245.17,0.0
"gen-3060-1",137.18608,137.09976,LFC,true,49.69,165.63,0.0
"gen-3061-1",137.18608,137.09976,LFC,true,49.69,165.63,0.0
"gen-3062-1",137.18608,137.09976,LFC,true,49.69,165.63,0.0
"gen-3063-1",137.18608,137.09976,LFC,true,49.69,165.63,0.0
"gen-3065-1",66.6756,66.633644,LFC,true,24.15,80.5,0.0
"gen-3068-1",124.24026,124.16208,LFC,true,45.0,150.0,0.0
