"ID","MW1","MVAr1","MW2","MVAr2","InService","SETelemMW1","SETelemMVAr1","SETelemMW2","SETelemMVAr2","SESigmaMW1","SESigmaMVAr1","SESigmaMW2","SESigmaMVAr2"
"ln-1001-1064-1",52.424217,18.915367,-52.25711,-18.362808,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1001-1064-2",52.424217,18.915367,-52.25711,-18.362808,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1001-1071-1",-62.231255,-21.695328,62.424133,22.410202,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1001-1071-2",-62.231255,-21.695328,62.424133,22.410202,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1002-1007-1",-4.7682467,-2.6921988,4.785344,-3.8840055,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1002-1010-1",-9.423733,-1.3321877,9.470654,-0.43506622,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1003-1022-1",-102.89125,6.102371,103.394226,-4.366684,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1003-1055-1",77.24037,0.95710754,-76.32379,0.72517395,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1004-3133-1",160.36827,-22.977448,-159.3133,24.790573,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1005-1025-1",-66.12053,10.443592,66.957214,-7.9112053,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1005-1061-1",66.56198,-9.459305,-66.28847,10.176849,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1005-1067-1",27.91872,1.4757156,-27.78349,-1.6841888,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1007-1015-1",4.3675094,-4.7997713,-4.353595,-0.49524307,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1007-1031-1",-15.994776,6.7414045,16.147427,-10.155416,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1008-1032-1",6.700158,8.462143,-6.644392,-9.8174095,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1008-1069-1",14.629889,-13.815117,-14.598513,13.370514,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1010-1015-1",2.5110424,-2.6150942,-2.5081158,-1.4508724,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1010-1030-1",-9.394106,3.0297518,9.463966,-7.8831673,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1012-1087-1",-35.318493,1.4842033,35.92883,-2.531004,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1012-3051-1",32.39391,-0.23069382,-31.803078,-0.9797096,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1013-1031-1",24.624847,-9.741163,-24.322737,7.8395844,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1013-1047-1",-64.15005,7.236862,64.54618,-5.845356,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1013-1086-1",11.936164,-5.310774,-11.810457,3.0965805,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1014-1047-1",-21.79799,8.205509,21.996761,-9.911203,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1014-1083-1",19.713116,-8.797407,-19.533325,6.8629265,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1016-1034-1",-51.96192,13.964558,52.49402,-12.254429,true,true,true,true,true,1.0,1.0,1.0,1.0
