"ID","MW","MVAr","ConstMvaMW","ConstMvaMVAr","ConstIMW","ConstIMVAr","ConstYMW","ConstYMVAr","InService"
"load-1001-1",19.614,5.5594,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1002-1",14.192,4.0245,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1007-1",6.8419003,1.9423001,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1012-1",2.9246,0.83141,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1013-1",27.588999,7.8152,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1013-2",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1013-3",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1014-1",2.0848,0.59164,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1015-1",6.8617,1.9461,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1016-1",2.7278,0.77397,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1017-1",17.31,4.9081,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1018-1",0.067189,0.019197,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1019-1",59.082,16.736,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1024-1",59.816,16.947,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1027-1",97.271,27.563997,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1027-2",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1028-1",9.3606,2.6558,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1028-2",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1028-3",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1028-4",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1029-1",79.84,22.624,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1030-1",21.768,6.169,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1030-2",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1031-1",8.1753,2.3156,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1036-1",12.837,3.6339,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1036-2",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1037-1",96.501,27.344,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1040-1",41.282,11.698,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1044-1",12.961,3.6729,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1044-2",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1045-1",97.32,27.579,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1046-1",10.952,3.1036,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1046-2",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1054-1",14.243001,4.0383,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1054-2",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1054-3",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1055-1",3.7818,1.0737,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1058-1",12.7039995,3.5961003,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1058-2",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,true
