"ID","SynchronousMachineOperatingMode","AVRMode","KVSetPoint","MVArSetPoint","MVAr","InService"
"Gen gen-1004-1:SM",GEN,ON,234.54886,0.0,-15.118599,true
"Gen gen-1006-1:SM",GEN,ON,13.8121195,0.0,3.6624908,true
"Gen gen-1009-1:SM",GEN,ON,14.075799,0.0,-4.914856,true
"Gen gen-1011-1:SM",GEN,OFF,22.705963,0.0,0.0,true
"Gen gen-1021-1:SM",GEN,ON,13.799964,0.0,6.698704,true
"Gen gen-1023-1:SM",GEN,ON,13.938,0.0,0.56762695,true
"Gen gen-1026-1:SM",GEN,ON,13.80001,0.0,7.5475693,true
"Gen gen-1033-1:SM",GEN,ON,231.34969,0.0,-15.336132,true
"Gen gen-1035-1:SM",GEN,ON,13.799995,0.0,3.0899048,true
"Gen gen-1039-1:SM",GEN,ON,22.054909,0.0,-17.539024,true
"Gen gen-1043-1:SM",GEN,ON,13.800023,0.0,7.0798397,true
"Gen gen-1050-1:SM",GEN,ON,17.999998,0.0,0.0,true
"Gen gen-1051-1:SM",GEN,ON,17.999998,0.0,0.26245117,true
"Gen gen-1052-1:SM",GEN,ON,17.99998,0.0,-2.1849632,true
"Gen gen-1066-1:SM",GEN,ON,13.800027,0.0,6.7139635,true
"Gen gen-1070-1:SM",GEN,ON,14.352078,0.0,17.483616,true
"Gen gen-1072-1:SM",GEN,ON,18.18019,0.0,12.463569,true
"Gen gen-1073-1:SM",GEN,ON,18.18019,0.0,9.10778,true
"Gen gen-1074-1:SM",GEN,ON,18.180183,0.0,9.4304085,true
"Gen gen-1075-1:SM",GEN,ON,18.18019,0.0,12.038803,true
"Gen gen-1078-1:SM",GEN,ON,18.180115,0.0,6.533766,true
"Gen gen-1079-1:SM",GEN,ON,507.11484,0.0,-10.6,true
"Gen gen-1080-1:SM",GEN,ON,18.180079,0.0,5.294895,true
"Gen gen-1082-1:SM",GEN,ON,118.17354,0.0,11.898518,true
"Gen gen-1084-1:SM",GEN,ON,114.96932,0.0,14.87112,true
"Gen gen-1088-1:SM",GEN,ON,115.0,0.0,4.2015076,true
"Gen gen-1090-1:SM",GEN,ON,115.71494,0.0,15.577972,true
"Gen gen-1090-2:SM",GEN,ON,115.71494,0.0,3.6786656,true
"Gen gen-2013-1:SM",GEN,ON,19.11517,0.0,-28.89,true
"Gen gen-2023-1:SM",GEN,ON,14.076069,0.0,15.023041,true
"Gen gen-2024-1:SM",GEN,ON,14.076117,0.0,22.143938,true
"Gen gen-2042-1:SM",GEN,ON,18.955341,0.0,-11.289882,true
"Gen gen-2057-1:SM",GEN,ON,17.819725,0.0,-43.330387,true
"Gen gen-2059-1:SM",GEN,ON,14.519246,0.0,-11.52,true
"Gen gen-2062-1:SM",GEN,ON,18.360058,0.0,10.886765,true
"Gen gen-2071-1:SM",GEN,ON,18.0,0.0,0.0,true
"Gen gen-2076-1:SM",GEN,ON,24.264935,0.0,-0.73175424,true
"Gen gen-2078-1:SM",GEN,ON,13.877035,0.0,11.766815,true
"Gen gen-2083-1:SM",GEN,ON,20.085402,0.0,6.9351196,true
"Gen gen-2089-1:SM",GEN,ON,24.0,0.0,1.3515472,true
"Gen gen-2099-1:SM",GEN,ON,19.098253,0.0,-1.44,true
"Gen gen-2100-1:SM",GEN,ON,18.944542,0.0,-21.6,true
"Gen gen-2115-1:SM",GEN,ON,13.898834,0.0,-20.498276,true
"Gen gen-2116-1:SM",GEN,ON,13.949359,0.0,-20.429993,true
"Gen gen-2117-1:SM",GEN,ON,13.8779745,0.0,-20.499802,true
"Gen gen-2118-1:SM",GEN,ON,13.865047,0.0,-20.499039,true
"Gen gen-2119-1:SM",GEN,ON,13.937069,0.0,-20.498657,true
"Gen gen-2120-1:SM",GEN,ON,13.937987,0.0,-10.307121,true
"Gen gen-2123-1:SM",GEN,ON,170.9861,0.0,-26.159998,true
"Gen gen-2127-1:SM",GEN,ON,534.97186,0.0,18.297434,true
"Gen gen-3004-1:SM",GEN,ON,18.185902,0.0,-2.9227254,true
"Gen gen-3017-1:SM",GEN,ON,18.180035,0.0,14.970684,true
"Gen gen-3020-1:SM",GEN,ON,13.894943,0.0,6.2005043,true
"Gen gen-3028-1:SM",GEN,ON,18.266687,0.0,25.834465,true
"Gen gen-3034-1:SM",GEN,ON,22.660126,0.0,18.770123,true
"Gen gen-3039-1:SM",GEN,ON,14.129571,0.0,35.762787,true
"Gen gen-3048-1:SM",GEN,ON,504.56387,0.0,-34.7,true
"Gen gen-3055-1:SM",GEN,ON,14.116533,0.0,35.07614,true
"Gen gen-3056-1:SM",GEN,ON,14.257416,0.0,44.29722,true
"Gen gen-3057-1:SM",GEN,ON,14.263298,0.0,43.763542,true
"Gen gen-3060-1:SM",GEN,ON,18.720118,0.0,28.704357,true
"Gen gen-3061-1:SM",GEN,ON,18.646389,0.0,29.167366,true
"Gen gen-3062-1:SM",GEN,ON,18.461338,0.0,21.531105,true
"Gen gen-3063-1:SM",GEN,ON,18.554556,0.0,25.925827,true
"Gen gen-3065-1:SM",GEN,ON,17.999958,0.0,-3.952217,true
"Gen gen-3068-1:SM",GEN,ON,20.624475,0.0,26.847458,true
"Gen gen-3071-1:SM",GEN,ON,24.125319,0.0,-8.0394745,true
"Gen gen-3074-1:SM",GEN,ON,13.800012,0.0,0.11024475,true
"Gen gen-3081-1:SM",GEN,ON,20.722214,0.0,49.40777,true
"Gen gen-3084-1:SM",GEN,ON,13.800018,0.0,11.673546,true
"Gen gen-3086-1:SM",GEN,ON,13.2,0.0,0.98867416,true
"Gen gen-3092-1:SM",GEN,ON,14.164136,0.0,34.92899,true
"Gen gen-3095-1:SM",GEN,ON,18.55455,0.0,19.362831,true
"Gen gen-3098-1:SM",GEN,ON,14.352049,0.0,14.239597,true
"Gen gen-3105-1:SM",GEN,ON,13.281098,0.0,1.2684345,true
"Gen gen-3106-1:SM",GEN,ON,13.258643,0.0,2.459669,true
"Gen gen-3110-1:SM",GEN,ON,14.352049,0.0,10.822725,true
"Gen gen-3112-1:SM",GEN,ON,18.0,0.0,1.9399166,true
"Gen gen-3113-1:SM",GEN,ON,18.0,0.0,2.7039766,true
"Gen gen-3117-1:SM",GEN,ON,13.799991,0.0,-2.3816109,true
"Gen gen-3118-1:SM",GEN,ON,13.799984,0.0,-5.253315,true
"Gen gen-3120-1:SM",GEN,OFF,13.877564,0.0,0.0,true
"Gen gen-3122-1:SM",GEN,ON,17.999947,0.0,-11.644554,true
"Gen gen-3127-1:SM",GEN,ON,116.827805,0.0,-8.437538,true
"Gen gen-3129-1:SM",GEN,ON,117.49919,0.0,12.129784,true
"Gen gen-3131-1:SM",GEN,ON,115.57918,0.0,-6.778908,true
"Gen gen-3137-1:SM",GEN,ON,115.06802,0.0,-0.2374649,true
"Gen gen-3141-1:SM",GEN,ON,116.70962,0.0,4.0302277,true
"Gen gen-4010-1:SM",GEN,ON,20.093813,0.0,19.957354,true
"Gen gen-4026-1:SM",GEN,ON,14.214299,0.0,82.35531,true
"Gen gen-4030-1:SM",GEN,ON,13.938112,0.0,26.53656,true
"Gen gen-4045-1:SM",GEN,ON,13.537137,0.0,3.795004,true
"Gen gen-4046-1:SM",GEN,ON,13.442627,0.0,-0.47,true
"Gen gen-4047-1:SM",GEN,ON,13.615659,0.0,10.627174,true
"Gen gen-4050-1:SM",GEN,ON,13.245471,0.0,-10.160637,true
"Gen gen-4052-1:SM",GEN,ON,17.587406,0.0,5.6144238,true
"Gen gen-4058-1:SM",GEN,ON,14.214125,0.0,32.39193,true
"Gen gen-4059-1:SM",GEN,ON,14.214125,0.0,34.532166,true
"Gen gen-4060-1:SM",GEN,ON,14.214099,0.0,25.463295,true
"Gen gen-4061-1:SM",GEN,ON,14.214125,0.0,34.13849,true
"Gen gen-4062-1:SM",GEN,ON,14.21411,0.0,27.607918,true
"Gen gen-4063-1:SM",GEN,ON,14.214125,0.0,35.977745,true
"Gen gen-4065-1:SM",GEN,ON,18.200798,0.0,13.914728,true
"Gen gen-4076-1:SM",GEN,ON,23.46136,0.0,1.2183189,true
"Gen gen-4077-1:SM",GEN,ON,23.626232,0.0,11.259937,true
"Gen gen-4082-1:SM",GEN,ON,14.352196,0.0,49.01409,true
"Gen gen-4083-1:SM",GEN,ON,14.352207,0.0,53.157043,true
"Gen gen-4084-1:SM",GEN,ON,14.343294,0.0,95.399475,true
"Gen gen-4085-1:SM",GEN,ON,14.352388,0.0,113.54904,true
"Gen gen-4091-1:SM",GEN,ON,13.062164,0.0,-2.87,true
"Gen gen-4093-1:SM",GEN,ON,13.195275,0.0,0.7179022,true
"Gen gen-4094-1:SM",GEN,ON,13.107922,0.0,-3.42,true
"Gen gen-4095-1:SM",GEN,ON,13.081015,0.0,-2.873373,true
"Gen gen-4097-1:SM",GEN,ON,13.127019,0.0,-1.0521412,true
"Gen gen-4105-1:SM",GEN,ON,17.832384,0.0,5.8639526,true
"Gen gen-4115-1:SM",GEN,ON,13.860483,0.0,28.466034,true
"Gen gen-4116-1:SM",GEN,ON,13.888437,0.0,30.358124,true
"Gen gen-4134-1:SM",GEN,ON,20.26679,0.0,6.6304207,true
"Gen gen-4135-1:SM",GEN,ON,20.24534,0.0,6.10075,true
"Gen gen-4136-1:SM",GEN,ON,20.38808,0.0,8.666468,true
"Gen gen-4142-1:SM",GEN,ON,13.634956,0.0,-11.775589,true
"Gen gen-4153-1:SM",GEN,ON,17.606274,0.0,-40.78,true
"Gen gen-4160-1:SM",GEN,ON,14.090166,0.0,70.53032,true
"Gen gen-4161-1:SM",GEN,ON,14.214192,0.0,52.944946,true
"Gen gen-4162-1:SM",GEN,ON,14.214188,0.0,49.110798,true
"Gen gen-4166-1:SM",GEN,ON,13.897567,0.0,21.244242,true
"Gen gen-4177-1:SM",GEN,ON,13.926761,0.0,14.500999,true
"Gen gen-4181-1:SM",GEN,ON,232.36043,0.0,3.3584595,true
"Gen gen-4183-1:SM",GEN,ON,229.68716,0.0,-29.23,true
"Gen gen-4192-1:SM",GEN,ON,234.62373,0.0,15.043185,true
"Gen gen-4192-10:SM",GEN,ON,234.62373,0.0,36.86507,true
"Gen gen-4192-3:SM",GEN,ON,234.62373,0.0,12.237122,true
"Gen gen-4192-4:SM",GEN,ON,234.62373,0.0,2.0848432,true
"Gen gen-4192-5:SM",GEN,ON,234.62373,0.0,53.559578,true
"Gen gen-4192-6:SM",GEN,ON,234.62373,0.0,53.559578,true
"Gen gen-4192-7:SM",GEN,ON,234.62373,0.0,53.559578,true
"Gen gen-4192-8:SM",GEN,ON,234.62373,0.0,36.86507,true
"Gen gen-4192-9:SM",GEN,ON,234.62373,0.0,36.86507,true
"Gen gen-5002-1:SM",GEN,ON,110.19029,0.0,-29.03,true
"Gen gen-5020-1:SM",GEN,ON,13.799979,0.0,-6.1840057,true
"Gen gen-5037-1:SM",GEN,ON,13.46441,0.0,97.38235,true
"Gen gen-5038-1:SM",GEN,ON,13.464407,0.0,97.5563,true
"Gen gen-5039-1:SM",GEN,ON,13.349612,0.0,52.848816,true
"Gen gen-5040-1:SM",GEN,ON,13.464314,0.0,74.22104,true
"Gen gen-5041-1:SM",GEN,ON,13.464433,0.0,103.94821,true
"Gen gen-5042-1:SM",GEN,ON,13.46439,0.0,91.82433,true
"Gen gen-5051-1:SM",GEN,ON,22.133923,0.0,6.5250397,true
"Gen gen-5058-1:SM",GEN,ON,13.800007,0.0,-4.058075,true
"Gen gen-5065-1:SM",GEN,ON,13.880215,0.0,-1.18,true
"Gen gen-5067-1:SM",GEN,ON,14.096567,0.0,149.95955,true
"Gen gen-5068-1:SM",GEN,ON,14.114444,0.0,150.93079,true
"Gen gen-5069-1:SM",GEN,ON,14.136116,0.0,155.16205,true
"Gen gen-5166-1:SM",GEN,ON,13.901479,0.0,29.118347,true
"Gen gen-5167-1:SM",GEN,ON,13.791214,0.0,-0.18,true
"Gen gen-5170-1:SM",GEN,ON,18.099968,0.0,0.79336166,true
"Gen gen-5198-1:SM",GEN,ON,17.999979,0.0,-13.355255,true
"Gen gen-5206-1:SM",GEN,ON,13.9381895,0.0,40.958405,true
"Gen gen-5207-1:SM",GEN,ON,13.938354,0.0,74.50104,true
"Gen gen-5208-1:SM",GEN,ON,13.938294,0.0,60.13565,true
"Gen gen-5238-1:SM",GEN,ON,18.024323,0.0,-9.492493,true
"Gen gen-5243-1:SM",GEN,ON,13.991306,0.0,-21.6,true
"Gen gen-5262-1:SM",GEN,ON,13.938462,0.0,67.085266,true
"Gen gen-5263-1:SM",GEN,ON,13.9385805,0.0,81.50177,true
"Gen gen-5281-1:SM",GEN,ON,13.918138,0.0,-29.70467,true
"Gen gen-5282-1:SM",GEN,ON,13.9382515,0.0,-29.699707,true
"Gen gen-5298-1:SM",GEN,ON,13.899348,0.0,-3.2203674,true
"Gen gen-5299-1:SM",GEN,ON,13.989077,0.0,28.341675,true
"Gen gen-5300-1:SM",GEN,ON,13.959751,0.0,22.228241,true
"Gen gen-5301-1:SM",GEN,ON,13.990431,0.0,20.318983,true
"Gen gen-5302-1:SM",GEN,ON,14.35277,0.0,191.56342,true
