"ID","Name","Node","GeneratingUnit","RegulatedNode"
"Gen gen-1004-1:SM","O DONNELL ~2-1","1004","gen-1004-1","1004"
"Gen gen-1006-1:SM","BIG SPRING~9-1","1006","gen-1006-1","1006"
"Gen gen-1009-1:SM","IRAAN 2 1-1","1009","gen-1009-1","1009"
"Gen gen-1011-1:SM","PRESIDIO 1 1-1","1011","gen-1011-1","1011"
"Gen gen-1021-1:SM","BIG SPRING~2-1","1021","gen-1021-1","1021"
"Gen gen-1023-1:SM","O DONNELL ~4-1","1023","gen-1023-1","1023"
"Gen gen-1026-1:SM","BIG SPRIN~15-1","1026","gen-1026-1","1026"
"Gen gen-1033-1:SM","MCCAMEY 1 1-1","1033","gen-1033-1","1033"
"Gen gen-1035-1:SM","BIG SPRING~7-1","1035","gen-1035-1","1035"
"Gen gen-1039-1:SM","FORT STOCK~2-1","1039","gen-1039-1","1039"
"Gen gen-1043-1:SM","FORSAN 2-1","1043","gen-1043-1","1043"
"Gen gen-1050-1:SM","MONAHANS 1 3-1","1050","gen-1050-1","1050"
"Gen gen-1051-1:SM","MONAHANS 1 4-1","1051","gen-1051-1","1051"
"Gen gen-1052-1:SM","MONAHANS 1 5-1","1052","gen-1052-1","1052"
"Gen gen-1066-1:SM","BIG SPRING~5-1","1066","gen-1066-1","1066"
"Gen gen-1070-1:SM","IRAAN 1 1-1","1070","gen-1070-1","1070"
"Gen gen-1072-1:SM","ODESSA 1 1-1","1072","gen-1072-1","1072"
"Gen gen-1073-1:SM","ODESSA 1 2-1","1073","gen-1073-1","1073"
"Gen gen-1074-1:SM","ODESSA 1 3-1","1074","gen-1074-1","1074"
"Gen gen-1075-1:SM","ODESSA 1 4-1","1075","gen-1075-1","1075"
"Gen gen-1078-1:SM","ODESSA 1 7-1","1078","gen-1078-1","1078"
"Gen gen-1079-1:SM","ODESSA 1 8-1","1079","gen-1079-1","1079"
"Gen gen-1080-1:SM","ODESSA 1 9-1","1080","gen-1080-1","1080"
"Gen gen-1082-1:SM","FORT STOCK~3-1","1082","gen-1082-1","1082"
"Gen gen-1084-1:SM","BIG SPRING~3-1","1084","gen-1084-1","1084"
"Gen gen-1088-1:SM","MCCAMEY 2 0-1","1088","gen-1088-1","1088"
"Gen gen-1090-1:SM","GOLDSMITH 0-1","1090","gen-1090-1","1090"
"Gen gen-1090-2:SM","GOLDSMITH 0-2","1090","gen-1090-2","1090"
"Gen gen-2013-1:SM","PANHANDLE ~4-1","2013","gen-2013-1","2013"
"Gen gen-2023-1:SM","PARIS 2 2-1","2023","gen-2023-1","2023"
"Gen gen-2024-1:SM","PARIS 2 3-1","2024","gen-2024-1","2024"
"Gen gen-2042-1:SM","PANHANDLE ~6-1","2042","gen-2042-1","2042"
"Gen gen-2057-1:SM","WICHITA FA~4-1","2057","gen-2057-1","2057"
"Gen gen-2059-1:SM","WHITE DEER 1-1","2059","gen-2059-1","2059"
"Gen gen-2062-1:SM","VERNON 1 1-1","2062","gen-2062-1","2062"
"Gen gen-2071-1:SM","ARCHER 2 1-1","2071","gen-2071-1","2071"
"Gen gen-2076-1:SM","JAYTON 3-1","2076","gen-2076-1","2076"
"Gen gen-2078-1:SM","MUENSTER 1 1-1","2078","gen-2078-1","2078"
"Gen gen-2083-1:SM","WICHITA FA~6-1","2083","gen-2083-1","2083"
"Gen gen-2089-1:SM","ARCHER 1 1-1","2089","gen-2089-1","2089"
"Gen gen-2099-1:SM","RALLS 1 3-1","2099","gen-2099-1","2099"
"Gen gen-2100-1:SM","RALLS 1 4-1","2100","gen-2100-1","2100"
"Gen gen-2115-1:SM","PARIS 1 2-1","2115","gen-2115-1","2115"
"Gen gen-2116-1:SM","PARIS 1 3-1","2116","gen-2116-1","2116"
"Gen gen-2117-1:SM","PARIS 1 4-1","2117","gen-2117-1","2117"
"Gen gen-2118-1:SM","PARIS 1 5-1","2118","gen-2118-1","2118"
"Gen gen-2119-1:SM","PARIS 1 6-1","2119","gen-2119-1","2119"
"Gen gen-2120-1:SM","PARIS 1 7-1","2120","gen-2120-1","2120"
"Gen gen-2123-1:SM","PANHANDLE ~1-1","2123","gen-2123-1","2123"
"Gen gen-2127-1:SM","MIAMI 0-1","2127","gen-2127-1","2127"
"Gen gen-3004-1:SM","SWEETWATER~5-1","3004","gen-3004-1","3004"
"Gen gen-3017-1:SM","BLACKWELL 1-1","3017","gen-3017-1","3017"
"Gen gen-3020-1:SM","CHRISTOVAL 2-1","3020","gen-3020-1","3020"
"Gen gen-3028-1:SM","ABILENE 2 2-1","3028","gen-3028-1","3028"
"Gen gen-3034-1:SM","SNYDER 1 1-1","3034","gen-3034-1","3034"
"Gen gen-3039-1:SM","ROSCOE 2 2-1","3039","gen-3039-1","3039"
"Gen gen-3048-1:SM","ROSCOE 5 2-1","3048","gen-3048-1","3048"
"Gen gen-3055-1:SM","WINGATE 2-1","3055","gen-3055-1","3055"
"Gen gen-3056-1:SM","WINGATE 3-1","3056","gen-3056-1","3056"
"Gen gen-3057-1:SM","WINGATE 4-1","3057","gen-3057-1","3057"
"Gen gen-3060-1:SM","STERLING C~3-1","3060","gen-3060-1","3060"
"Gen gen-3061-1:SM","STERLING C~4-1","3061","gen-3061-1","3061"
"Gen gen-3062-1:SM","STERLING C~5-1","3062","gen-3062-1","3062"
"Gen gen-3063-1:SM","STERLING C~6-1","3063","gen-3063-1","3063"
"Gen gen-3065-1:SM","ROSCOE 4 1-1","3065","gen-3065-1","3065"
"Gen gen-3068-1:SM","TRENT 1 1-1","3068","gen-3068-1","3068"
"Gen gen-3071-1:SM","NOLAN 1-1","3071","gen-3071-1","3071"
"Gen gen-3074-1:SM","BRACKETTVI~4-1","3074","gen-3074-1","3074"
"Gen gen-3081-1:SM","HERMLEIGH 3-1","3081","gen-3081-1","3081"
"Gen gen-3084-1:SM","MERKEL 1 2-1","3084","gen-3084-1","3084"
"Gen gen-3086-1:SM","LORAINE 1 1-1","3086","gen-3086-1","3086"
"Gen gen-3092-1:SM","ABILENE 1 4-1","3092","gen-3092-1","3092"
"Gen gen-3095-1:SM","MERKEL 2 1-1","3095","gen-3095-1","3095"
"Gen gen-3098-1:SM","FLUVANNA 2 2-1","3098","gen-3098-1","3098"
"Gen gen-3105-1:SM","BUCHANAN D~2-1","3105","gen-3105-1","3105"
"Gen gen-3106-1:SM","BUCHANAN D~3-1","3106","gen-3106-1","3106"
"Gen gen-3110-1:SM","FLUVANNA 1 1-1","3110","gen-3110-1","3110"
"Gen gen-3112-1:SM","STERLING C~8-1","3112","gen-3112-1","3112"
"Gen gen-3113-1:SM","STERLING C~9-1","3113","gen-3113-1","3113"
"Gen gen-3117-1:SM","SYNDER 1-1","3117","gen-3117-1","3117"
"Gen gen-3118-1:SM","SYNDER 2-1","3118","gen-3118-1","3118"
"Gen gen-3120-1:SM","BRACKETTVI~2-1","3120","gen-3120-1","3120"
"Gen gen-3122-1:SM","ROSCOE 1 1-1","3122","gen-3122-1","3122"
"Gen gen-3127-1:SM","SWEETWATER~2-1","3127","gen-3127-1","3127"
"Gen gen-3129-1:SM","ROSCOE 3 0-1","3129","gen-3129-1","3129"
"Gen gen-3131-1:SM","TUSOCOLA 0-1","3131","gen-3131-1","3131"
"Gen gen-3137-1:SM","SWEETWATER~1-1","3137","gen-3137-1","3137"
"Gen gen-3141-1:SM","SWEETWATER~3-1","3141","gen-3141-1","3141"
"Gen gen-4010-1:SM","SARITA 3 1-1","4010","gen-4010-1","4010"
"Gen gen-4026-1:SM","CHRISTINE 2-1","4026","gen-4026-1","4026"
"Gen gen-4030-1:SM","FANNIN 2-1","4030","gen-4030-1","4030"
"Gen gen-4045-1:SM","FALCON HEI~2-1","4045","gen-4045-1","4045"
"Gen gen-4046-1:SM","FALCON HEI~3-1","4046","gen-4046-1","4046"
"Gen gen-4047-1:SM","FALCON HEI~4-1","4047","gen-4047-1","4047"
"Gen gen-4050-1:SM","SEBASTIAN ~3-1","4050","gen-4050-1","4050"
"Gen gen-4052-1:SM","BISHOP 1-1","4052","gen-4052-1","4052"
"Gen gen-4058-1:SM","GREGORY 2-1","4058","gen-4058-1","4058"
"Gen gen-4059-1:SM","GREGORY 3-1","4059","gen-4059-1","4059"
"Gen gen-4060-1:SM","GREGORY 4-1","4060","gen-4060-1","4060"
"Gen gen-4061-1:SM","GREGORY 5-1","4061","gen-4061-1","4061"
"Gen gen-4062-1:SM","GREGORY 6-1","4062","gen-4062-1","4062"
"Gen gen-4063-1:SM","GREGORY 7-1","4063","gen-4063-1","4063"
"Gen gen-4065-1:SM","CORPUS CH~17-1","4065","gen-4065-1","4065"
"Gen gen-4076-1:SM","MISSION 1 3-1","4076","gen-4076-1","4076"
"Gen gen-4077-1:SM","MISSION 1 4-1","4077","gen-4077-1","4077"
"Gen gen-4082-1:SM","CORPUS CH~20-1","4082","gen-4082-1","4082"
"Gen gen-4083-1:SM","CORPUS CH~21-1","4083","gen-4083-1","4083"
"Gen gen-4084-1:SM","CORPUS CH~22-1","4084","gen-4084-1","4084"
"Gen gen-4085-1:SM","CORPUS CH~23-1","4085","gen-4085-1","4085"
"Gen gen-4091-1:SM","SANTA ROSA~3-1","4091","gen-4091-1","4091"
"Gen gen-4093-1:SM","SANTA ROSA~5-1","4093","gen-4093-1","4093"
"Gen gen-4094-1:SM","SANTA ROSA~6-1","4094","gen-4094-1","4094"
"Gen gen-4095-1:SM","SANTA ROSA~7-1","4095","gen-4095-1","4095"
"Gen gen-4097-1:SM","SANTA ROSA~9-1","4097","gen-4097-1","4097"
"Gen gen-4105-1:SM","TAFT 2 1-1","4105","gen-4105-1","4105"
"Gen gen-4115-1:SM","LAREDO 1 2-1","4115","gen-4115-1","4115"
"Gen gen-4116-1:SM","LAREDO 1 3-1","4116","gen-4116-1","4116"
"Gen gen-4134-1:SM","PEARSALL 3-1","4134","gen-4134-1","4134"
"Gen gen-4135-1:SM","PEARSALL 4-1","4135","gen-4135-1","4135"
"Gen gen-4136-1:SM","PEARSALL 5-1","4136","gen-4136-1","4136"
"Gen gen-4142-1:SM","SARITA 1 2-1","4142","gen-4142-1","4142"
"Gen gen-4153-1:SM","ARMSTRONG ~3-1","4153","gen-4153-1","4153"
"Gen gen-4160-1:SM","CORPUS CHR~3-1","4160","gen-4160-1","4160"
"Gen gen-4161-1:SM","CORPUS CHR~4-1","4161","gen-4161-1","4161"
"Gen gen-4162-1:SM","CORPUS CHR~5-1","4162","gen-4162-1","4162"
"Gen gen-4166-1:SM","SARITA 2 1-1","4166","gen-4166-1","4166"
"Gen gen-4177-1:SM","BRUNI 1 1-1","4177","gen-4177-1","4177"
"Gen gen-4181-1:SM","TAFT 1 0-1","4181","gen-4181-1","4181"
"Gen gen-4183-1:SM","SAN PERLIT~1-1","4183","gen-4183-1","4183"
"Gen gen-4192-1:SM","BROWNSVILL~1-1","4192","gen-4192-1","4192"
"Gen gen-4192-10:SM","BROWNSVILL~1-10","4192","gen-4192-10","4192"
"Gen gen-4192-3:SM","BROWNSVILL~1-3","4192","gen-4192-3","4192"
"Gen gen-4192-4:SM","BROWNSVILL~1-4","4192","gen-4192-4","4192"
"Gen gen-4192-5:SM","BROWNSVILL~1-5","4192","gen-4192-5","4192"
"Gen gen-4192-6:SM","BROWNSVILL~1-6","4192","gen-4192-6","4192"
"Gen gen-4192-7:SM","BROWNSVILL~1-7","4192","gen-4192-7","4192"
"Gen gen-4192-8:SM","BROWNSVILL~1-8","4192","gen-4192-8","4192"
"Gen gen-4192-9:SM","BROWNSVILL~1-9","4192","gen-4192-9","4192"
"Gen gen-5002-1:SM","SEBASTIAN ~1-1","5002","gen-5002-1","5002"
"Gen gen-5020-1:SM","JACKSBORO ~3-1","5020","gen-5020-1","5020"
"Gen gen-5037-1:SM","DALLAS 1 4-1","5037","gen-5037-1","5037"
"Gen gen-5038-1:SM","DALLAS 1 5-1","5038","gen-5038-1","5038"
"Gen gen-5039-1:SM","DALLAS 1 6-1","5039","gen-5039-1","5039"
"Gen gen-5040-1:SM","DALLAS 1 7-1","5040","gen-5040-1","5040"
"Gen gen-5041-1:SM","DALLAS 1 8-1","5041","gen-5041-1","5041"
"Gen gen-5042-1:SM","DALLAS 1 9-1","5042","gen-5042-1","5042"
"Gen gen-5051-1:SM","GREENVILLE~3-1","5051","gen-5051-1","5051"
"Gen gen-5058-1:SM","GRAHAM 3-1","5058","gen-5058-1","5058"
"Gen gen-5065-1:SM","ARLINGTON ~3-1","5065","gen-5065-1","5065"
"Gen gen-5067-1:SM","ARLINGTON ~5-1","5067","gen-5067-1","5067"
"Gen gen-5068-1:SM","ARLINGTON ~6-1","5068","gen-5068-1","5068"
"Gen gen-5069-1:SM","ARLINGTON ~7-1","5069","gen-5069-1","5069"
"Gen gen-5166-1:SM","DENTON 1 2-1","5166","gen-5166-1","5166"
"Gen gen-5167-1:SM","DENTON 1 3-1","5167","gen-5167-1","5167"
"Gen gen-5170-1:SM","DUBLIN 1 1-1","5170","gen-5170-1","5170"
"Gen gen-5198-1:SM","BRYSON 1 2-1","5198","gen-5198-1","5198"
"Gen gen-5206-1:SM","POOLVILLE 2-1","5206","gen-5206-1","5206"
"Gen gen-5207-1:SM","POOLVILLE 3-1","5207","gen-5207-1","5207"
"Gen gen-5208-1:SM","POOLVILLE 4-1","5208","gen-5208-1","5208"
"Gen gen-5238-1:SM","OLNEY 1 2-1","5238","gen-5238-1","5238"
"Gen gen-5243-1:SM","GOLDTHWAIT~5-1","5243","gen-5243-1","5243"
"Gen gen-5262-1:SM","GLEN ROSE ~3-1","5262","gen-5262-1","5262"
"Gen gen-5263-1:SM","GLEN ROSE ~4-1","5263","gen-5263-1","5263"
"Gen gen-5281-1:SM","TEMPLE 1 2-1","5281","gen-5281-1","5281"
"Gen gen-5282-1:SM","TEMPLE 1 3-1","5282","gen-5282-1","5282"
"Gen gen-5298-1:SM","MCKINNEY 1 3-1","5298","gen-5298-1","5298"
"Gen gen-5299-1:SM","MCKINNEY 1 4-1","5299","gen-5299-1","5299"
"Gen gen-5300-1:SM","MCKINNEY 1 5-1","5300","gen-5300-1","5300"
"Gen gen-5301-1:SM","MCKINNEY 1 6-1","5301","gen-5301-1","5301"
"Gen gen-5302-1:SM","MCKINNEY 1 7-1","5302","gen-5302-1","5302"
"Gen gen-5303-1:SM","MCKINNEY 1 8-1","5303","gen-5303-1","5303"
"Gen gen-5319-1:SM","GRANBURY 1 2-1","5319","gen-5319-1","5319"
"Gen gen-5321-1:SM","GRANBURY 1 4-1","5321","gen-5321-1","5321"
"Gen gen-5324-1:SM","DALLAS 2 2-1","5324","gen-5324-1","5324"
"Gen gen-5325-1:SM","DALLAS 2 3-1","5325","gen-5325-1","5325"
"Gen gen-5326-1:SM","DALLAS 2 4-1","5326","gen-5326-1","5326"
"Gen gen-5342-1:SM","LEWISVILLE~2-1","5342","gen-5342-1","5342"
"Gen gen-5343-1:SM","LEWISVILLE~3-1","5343","gen-5343-1","5343"
"Gen gen-5360-1:SM","RIESEL 1 2-1","5360","gen-5360-1","5360"
"Gen gen-5363-1:SM","BRIDGEPORT 2-1","5363","gen-5363-1","5363"
"Gen gen-5364-1:SM","BRIDGEPORT 3-1","5364","gen-5364-1","5364"
"Gen gen-5365-1:SM","BRIDGEPORT 4-1","5365","gen-5365-1","5365"
"Gen gen-5366-1:SM","BRIDGEPORT 5-1","5366","gen-5366-1","5366"
