"ID","Name","GeneratingUnitType","GenControlMode"
"gen-1004-1","O DONNELL ~2-1","Unknown",Setpoint
"gen-1006-1","BIG SPRING~9-1","Unknown",Setpoint
"gen-1009-1","IRAAN 2 1-1","Unknown",Setpoint
"gen-1011-1","PRESIDIO 1 1-1","Unknown",Setpoint
"gen-1021-1","BIG SPRING~2-1","Unknown",Setpoint
"gen-1023-1","O DONNELL ~4-1","Unknown",Setpoint
"gen-1026-1","BIG SPRIN~15-1","Unknown",Setpoint
"gen-1033-1","MCCAMEY 1 1-1","Unknown",Setpoint
"gen-1035-1","BIG SPRING~7-1","Unknown",Setpoint
"gen-1039-1","FORT STOCK~2-1","Unknown",Setpoint
"gen-1042-1","FORSAN 1-1","Unknown",Setpoint
"gen-1043-1","FORSAN 2-1","Unknown",Setpoint
"gen-1048-1","MONAHANS 1 1-1","Unknown",Setpoint
"gen-1049-1","MONAHANS 1 2-1","Unknown",Setpoint
"gen-1050-1","MONAHANS 1 3-1","Unknown",Setpoint
"gen-1051-1","MONAHANS 1 4-1","Unknown",Setpoint
"gen-1052-1","MONAHANS 1 5-1","Unknown",Setpoint
"gen-1053-1","MONAHANS 1 6-1","Unknown",Setpoint
"gen-1057-1","LENORAH 1-1","Unknown",Setpoint
"gen-1059-1","IRAAN 3 1-1","Unknown",Setpoint
"gen-1060-1","IRAAN 3 2-1","Unknown",Setpoint
"gen-1062-1","BIG SPRIN~11-1","Unknown",Setpoint
"gen-1063-1","BIG SPRIN~12-1","Unknown",Setpoint
"gen-1066-1","BIG SPRING~5-1","Unknown",Setpoint
"gen-1070-1","IRAAN 1 1-1","Unknown",Setpoint
"gen-1072-1","ODESSA 1 1-1","Unknown",Setpoint
"gen-1073-1","ODESSA 1 2-1","Unknown",Setpoint
"gen-1074-1","ODESSA 1 3-1","Unknown",Setpoint
"gen-1075-1","ODESSA 1 4-1","Unknown",Setpoint
"gen-1076-1","ODESSA 1 5-1","Unknown",Setpoint
"gen-1077-1","ODESSA 1 6-1","Unknown",Setpoint
"gen-1078-1","ODESSA 1 7-1","Unknown",Setpoint
"gen-1079-1","ODESSA 1 8-1","Unknown",Setpoint
"gen-1080-1","ODESSA 1 9-1","Unknown",Setpoint
"gen-1081-1","ODESSA 1 10-1","Unknown",Setpoint
"gen-1082-1","FORT STOCK~3-1","Unknown",Setpoint
"gen-1084-1","BIG SPRING~3-1","Unknown",Setpoint
"gen-1088-1","MCCAMEY 2 0-1","Unknown",Setpoint
"gen-1090-1","GOLDSMITH 0-1","Unknown",Setpoint
"gen-1090-2","GOLDSMITH 0-2","Unknown",Setpoint
"gen-2004-1","SAVOY 2-1","Unknown",Setpoint
"gen-2005-1","SAVOY 3-1","Unknown",Setpoint
"gen-2006-1","SAVOY 4-1","Unknown",Setpoint
"gen-2013-1","PANHANDLE ~4-1","Unknown",Setpoint
"gen-2019-1","PANHANDLE ~9-1","Unknown",Setpoint
"gen-2023-1","PARIS 2 2-1","Unknown",Setpoint
"gen-2024-1","PARIS 2 3-1","Unknown",Setpoint
"gen-2042-1","PANHANDLE ~6-1","Unknown",Setpoint
"gen-2056-1","WICHITA FA~3-1","Unknown",Setpoint
"gen-2057-1","WICHITA FA~4-1","Unknown",Setpoint
"gen-2059-1","WHITE DEER 1-1","Unknown",Setpoint
"gen-2062-1","VERNON 1 1-1","Unknown",Setpoint
"gen-2071-1","ARCHER 2 1-1","Unknown",Setpoint
"gen-2076-1","JAYTON 3-1","Unknown",Setpoint
"gen-2078-1","MUENSTER 1 1-1","Unknown",Setpoint
"gen-2083-1","WICHITA FA~6-1","Unknown",Setpoint
"gen-2084-1","WICHITA FA~7-1","Unknown",Setpoint
"gen-2085-1","WICHITA FA~8-1","Unknown",Setpoint
"gen-2089-1","ARCHER 1 1-1","Unknown",Setpoint
"gen-2094-1","PANHANDLE~11-1","Unknown",Setpoint
"gen-2095-1","PANHANDLE~12-1","Unknown",Setpoint
"gen-2099-1","RALLS 1 3-1","Unknown",Setpoint
"gen-2100-1","RALLS 1 4-1","Unknown",Setpoint
"gen-2103-1","SHERMAN 1 2-1","Unknown",Setpoint
"gen-2104-1","SHERMAN 1 3-1","Unknown",Setpoint
"gen-2105-1","SHERMAN 1 4-1","Unknown",Setpoint
"gen-2115-1","PARIS 1 2-1","Unknown",Setpoint
"gen-2116-1","PARIS 1 3-1","Unknown",Setpoint
"gen-2117-1","PARIS 1 4-1","Unknown",Setpoint
"gen-2118-1","PARIS 1 5-1","Unknown",Setpoint
"gen-2119-1","PARIS 1 6-1","Unknown",Setpoint
"gen-2120-1","PARIS 1 7-1","Unknown",Setpoint
"gen-2123-1","PANHANDLE ~1-1","Unknown",Setpoint
"gen-2127-1","MIAMI 0-1","Unknown",Setpoint
"gen-3004-1","SWEETWATER~5-1","Unknown",Setpoint
"gen-3017-1","BLACKWELL 1-1","Unknown",Setpoint
"gen-3020-1","CHRISTOVAL 2-1","Unknown",Setpoint
"gen-3028-1","ABILENE 2 2-1","Unknown",Setpoint
"gen-3034-1","SNYDER 1 1-1","Unknown",Setpoint
"gen-3039-1","ROSCOE 2 2-1","Unknown",Setpoint
"gen-3043-1","SILVER 2-1","Unknown",Setpoint
"gen-3044-1","SILVER 3-1","Unknown",Setpoint
"gen-3045-1","SILVER 4-1","Unknown",Setpoint
"gen-3048-1","ROSCOE 5 2-1","Unknown",Setpoint
"gen-3055-1","WINGATE 2-1","Unknown",Setpoint
"gen-3056-1","WINGATE 3-1","Unknown",Setpoint
"gen-3057-1","WINGATE 4-1","Unknown",Setpoint
"gen-3060-1","STERLING C~3-1","Unknown",Setpoint
"gen-3061-1","STERLING C~4-1","Unknown",Setpoint
"gen-3062-1","STERLING C~5-1","Unknown",Setpoint
"gen-3063-1","STERLING C~6-1","Unknown",Setpoint
"gen-3065-1","ROSCOE 4 1-1","Unknown",Setpoint
"gen-3068-1","TRENT 1 1-1","Unknown",Setpoint
"gen-3071-1","NOLAN 1-1","Unknown",Setpoint
"gen-3074-1","BRACKETTVI~4-1","Unknown",Setpoint
"gen-3081-1","HERMLEIGH 3-1","Unknown",Setpoint
"gen-3084-1","MERKEL 1 2-1","Unknown",Setpoint
"gen-3086-1","LORAINE 1 1-1","Unknown",Setpoint
"gen-3087-1","LORAINE 1 2-1","Unknown",Setpoint
"gen-3092-1","ABILENE 1 4-1","Unknown",Setpoint
"gen-3095-1","MERKEL 2 1-1","Unknown",Setpoint
"gen-3098-1","FLUVANNA 2 2-1","Unknown",Setpoint
"gen-3105-1","BUCHANAN D~2-1","Unknown",Setpoint
"gen-3106-1","BUCHANAN D~3-1","Unknown",Setpoint
"gen-3110-1","FLUVANNA 1 1-1","Unknown",Setpoint
"gen-3112-1","STERLING C~8-1","Unknown",Setpoint
"gen-3113-1","STERLING C~9-1","Unknown",Setpoint
"gen-3117-1","SYNDER 1-1","Unknown",Setpoint
"gen-3118-1","SYNDER 2-1","Unknown",Setpoint
"gen-3120-1","BRACKETTVI~2-1","Unknown",Setpoint
"gen-3122-1","ROSCOE 1 1-1","Unknown",Setpoint
"gen-3127-1","SWEETWATER~2-1","Unknown",Setpoint
"gen-3129-1","ROSCOE 3 0-1","Unknown",Setpoint
"gen-3131-1","TUSOCOLA 0-1","Unknown",Setpoint
"gen-3133-1","SNYDER 2 0-1","Unknown",Setpoint
"gen-3133-2","SNYDER 2 0-2","Unknown",Setpoint
"gen-3133-3","SNYDER 2 0-3","Unknown",Setpoint
"gen-3137-1","SWEETWATER~1-1","Unknown",Setpoint
"gen-3141-1","SWEETWATER~3-1","Unknown",Setpoint
"gen-4010-1","SARITA 3 1-1","Unknown",Setpoint
"gen-4026-1","CHRISTINE 2-1","Unknown",Setpoint
"gen-4030-1","FANNIN 2-1","Unknown",Setpoint
"gen-4045-1","FALCON HEI~2-1","Unknown",Setpoint
"gen-4046-1","FALCON HEI~3-1","Unknown",Setpoint
"gen-4047-1","FALCON HEI~4-1","Unknown",Setpoint
"gen-4050-1","SEBASTIAN ~3-1","Unknown",Setpoint
"gen-4052-1","BISHOP 1-1","Unknown",Setpoint
"gen-4058-1","GREGORY 2-1","Unknown",Setpoint
"gen-4059-1","GREGORY 3-1","Unknown",Setpoint
"gen-4060-1","GREGORY 4-1","Unknown",Setpoint
"gen-4061-1","GREGORY 5-1","Unknown",Setpoint
"gen-4062-1","GREGORY 6-1","Unknown",Setpoint
"gen-4063-1","GREGORY 7-1","Unknown",Setpoint
"gen-4065-1","CORPUS CH~17-1","Unknown",Setpoint
"gen-4075-1","MISSION 1 2-1","Unknown",Setpoint
"gen-4076-1","MISSION 1 3-1","Unknown",Setpoint
"gen-4077-1","MISSION 1 4-1","Unknown",Setpoint
"gen-4082-1","CORPUS CH~20-1","Unknown",Setpoint
"gen-4083-1","CORPUS CH~21-1","Unknown",Setpoint
"gen-4084-1","CORPUS CH~22-1","Unknown",Setpoint
"gen-4085-1","CORPUS CH~23-1","Unknown",Setpoint
"gen-4090-1","SANTA ROSA~2-1","Unknown",Setpoint
"gen-4091-1","SANTA ROSA~3-1","Unknown",Setpoint
"gen-4092-1","SANTA ROSA~4-1","Unknown",Setpoint
"gen-4093-1","SANTA ROSA~5-1","Unknown",Setpoint
"gen-4094-1","SANTA ROSA~6-1","Unknown",Setpoint
"gen-4095-1","SANTA ROSA~7-1","Unknown",Setpoint
"gen-4096-1","SANTA ROSA~8-1","Unknown",Setpoint
"gen-4097-1","SANTA ROSA~9-1","Unknown",Setpoint
"gen-4098-1","SANTA ROS~10-1","Unknown",Setpoint
"gen-4105-1","TAFT 2 1-1","Unknown",Setpoint
"gen-4115-1","LAREDO 1 2-1","Unknown",Setpoint
"gen-4116-1","LAREDO 1 3-1","Unknown",Setpoint
"gen-4133-1","PEARSALL 2-1","Unknown",Setpoint
"gen-4134-1","PEARSALL 3-1","Unknown",Setpoint
"gen-4135-1","PEARSALL 4-1","Unknown",Setpoint
"gen-4136-1","PEARSALL 5-1","Unknown",Setpoint
"gen-4137-1","PEARSALL 6-1","Unknown",Setpoint
"gen-4138-1","PEARSALL 7-1","Unknown",Setpoint
"gen-4142-1","SARITA 1 2-1","Unknown",Setpoint
"gen-4153-1","ARMSTRONG ~3-1","Unknown",Setpoint
"gen-4160-1","CORPUS CHR~3-1","Unknown",Setpoint
"gen-4161-1","CORPUS CHR~4-1","Unknown",Setpoint
"gen-4162-1","CORPUS CHR~5-1","Unknown",Setpoint
"gen-4163-1","CORPUS CHR~6-1","Unknown",Setpoint
"gen-4166-1","SARITA 2 1-1","Unknown",Setpoint
"gen-4177-1","BRUNI 1 1-1","Unknown",Setpoint
"gen-4181-1","TAFT 1 0-1","Unknown",Setpoint
"gen-4183-1","SAN PERLIT~1-1","Unknown",Setpoint
