"ID","Name","Node1","Node2","R","X","Bch","NormalOperatingLimit","ShortTermLimit","EmergencyLimit"
"ln-1001-1064-1","ODESSA 2 0-ODESSA 3 0","1001","1064",0.00524,0.0358,0.00609,221.0,0.0,0.0
"ln-1001-1064-2","ODESSA 2 0-ODESSA 3 0","1001","1064",0.00524,0.0358,0.00609,221.0,0.0,0.0
"ln-1001-1071-1","ODESSA 2 0-ODESSA 1 0","1001","1071",0.00435,0.02808,0.00536,221.0,0.0,0.0
"ln-1001-1071-2","ODESSA 2 0-ODESSA 1 0","1001","1071",0.00435,0.02808,0.00536,221.0,0.0,0.0
"ln-1002-1007-1","PRESIDIO 2 0-VAN HORN 0","1002","1007",0.07776,0.46693,0.06336,98.0,0.0,0.0
"ln-1002-1010-1","PRESIDIO 2 0-PRESIDIO 1 0","1002","1010",0.05552,0.1357,0.01777,98.0,0.0,0.0
"ln-1003-1022-1","O DONNELL ~1-O DONNELL ~3","1003","1022",0.00485,0.02012,0.00341,221.0,0.0,0.0
"ln-1003-1055-1","O DONNELL ~1-ODONNELL 0","1003","1055",0.01574,0.03782,0.00513,98.0,0.0,0.0
"ln-1004-3133-1","O DONNELL ~2-SNYDER 2 0","1004","3133",0.0042,0.03,0.055,523.0,0.0,0.0
"ln-1005-1025-1","BIG SPRING~8-BIG SPRIN~14","1005","1025",0.01842,0.0821,0.01204,149.0,0.0,0.0
"ln-1005-1061-1","BIG SPRING~8-BIG SPRIN~10","1005","1061",0.00599,0.02484,0.00422,221.0,0.0,0.0
"ln-1005-1067-1","BIG SPRING~8-BIG SPRIN~13","1005","1067",0.01711,0.04181,0.00548,98.0,0.0,0.0
"ln-1007-1015-1","VAN HORN 0-MARFA 0","1007","1015",0.06224,0.37375,0.05072,98.0,0.0,0.0
"ln-1007-1031-1","VAN HORN 0-FORT DAVIS 0","1007","1031",0.04803,0.27434,0.04123,98.0,0.0,0.0
"ln-1008-1032-1","IRAAN 2 0-MCCAMEY 1 0","1008","1032",0.04501,0.11002,0.01441,98.0,0.0,0.0
"ln-1008-1069-1","IRAAN 2 0-IRAAN 1 0","1008","1069",0.0083,0.03628,0.00553,149.0,0.0,0.0
"ln-1010-1015-1","PRESIDIO 1 0-MARFA 0","1010","1015",0.04703,0.28243,0.03833,98.0,0.0,0.0
"ln-1010-1030-1","PRESIDIO 1 0-ALPINE 0","1010","1030",0.0616,0.3699,0.0502,98.0,0.0,0.0
"ln-1012-1087-1","SANDERSON 0-SHEFFIELD 0","1012","1087",0.04934,0.20469,0.03473,149.0,0.0,0.0
"ln-1012-3051-1","SANDERSON 0-DEL RIO 1","1012","3051",0.0571,0.24977,0.03804,149.0,0.0,0.0
"ln-1013-1031-1","MONAHANS 2 0-FORT DAVIS 0","1013","1031",0.04509,0.27078,0.03675,98.0,0.0,0.0
"ln-1013-1047-1","MONAHANS 2 0-MONAHANS 1 0","1013","1047",0.00947,0.06117,0.01167,221.0,0.0,0.0
"ln-1013-1086-1","MONAHANS 2 0-PECOS 0","1013","1086",0.079,0.19311,0.02529,98.0,0.0,0.0
"ln-1014-1047-1","GRANDFALLS 0-MONAHANS 1 0","1014","1047",0.03566,0.14794,0.0251,149.0,0.0,0.0
"ln-1014-1083-1","GRANDFALLS 0-FORT STOCK~4","1014","1083",0.04105,0.18293,0.02682,149.0,0.0,0.0
"ln-1016-1034-1","GARDEN CIT~1-BIG SPRING~6","1016","1034",0.01828,0.10976,0.01489,98.0,0.0,0.0
"ln-1016-1068-1","GARDEN CIT~1-MIDLAND 1 0","1016","1068",0.02773,0.15837,0.0238,98.0,0.0,0.0
"ln-1017-1018-1","ODESSA 4 0-NOTREES 0","1017","1018",0.03227,0.07887,0.01033,98.0,0.0,0.0
"ln-1017-1029-1","ODESSA 4 0-MIDLAND 3 0","1017","1029",0.03244,0.14188,0.02161,149.0,0.0,0.0
"ln-1017-1037-1","ODESSA 4 0-ODESSA 5 0","1017","1037",0.00752,0.03352,0.00491,221.0,0.0,0.0
"ln-1017-1047-1","ODESSA 4 0-MONAHANS 1 0","1017","1047",0.036,0.156,0.024,150.0,0.0,0.0
"ln-1018-1024-1","NOTREES 0-ODESSA 6 0","1018","1024",0.01094,0.06572,0.00892,98.0,0.0,0.0
"ln-1019-1040-1","MIDLAND 4 0-ANDREWS 0","1019","1040",0.04978,0.20651,0.03504,149.0,0.0,0.0
"ln-1019-1045-1","MIDLAND 4 0-MIDLAND 5 0","1019","1045",0.01522,0.0372,0.00487,221.0,0.0,0.0
"ln-1019-1071-1","MIDLAND 4 0-ODESSA 1 0","1019","1071",0.0044,0.028,0.0054,225.0,0.0,0.0
