"ID","Name","Node"
"load-1001-1","ODESSA 2 0-1","1001"
"load-1002-1","PRESIDIO 2 0-1","1002"
"load-1007-1","VAN HORN 0-1","1007"
"load-1012-1","SANDERSON 0-1","1012"
"load-1013-1","MONAHANS 2 0-1","1013"
"load-1013-2","MONAHANS 2 0-2","1013"
"load-1013-3","MONAHANS 2 0-3","1013"
"load-1014-1","GRANDFALLS 0-1","1014"
"load-1015-1","MARFA 0-1","1015"
"load-1016-1","GARDEN CIT~1-1","1016"
"load-1017-1","ODESSA 4 0-1","1017"
"load-1018-1","NOTREES 0-1","1018"
"load-1019-1","MIDLAND 4 0-1","1019"
"load-1024-1","ODESSA 6 0-1","1024"
"load-1027-1","MIDLAND 2 0-1","1027"
"load-1027-2","MIDLAND 2 0-2","1027"
"load-1028-1","COAHOMA 0-1","1028"
"load-1028-2","COAHOMA 0-2","1028"
"load-1028-3","COAHOMA 0-3","1028"
"load-1028-4","COAHOMA 0-4","1028"
"load-1029-1","MIDLAND 3 0-1","1029"
"load-1030-1","ALPINE 0-1","1030"
"load-1030-2","ALPINE 0-2","1030"
"load-1031-1","FORT DAVIS 0-1","1031"
"load-1036-1","CRANE 0-1","1036"
"load-1036-2","CRANE 0-2","1036"
"load-1037-1","ODESSA 5 0-1","1037"
"load-1040-1","ANDREWS 0-1","1040"
"load-1044-1","BIG LAKE 0-1","1044"
"load-1044-2","BIG LAKE 0-2","1044"
"load-1045-1","MIDLAND 5 0-1","1045"
"load-1046-1","OZONA 0-1","1046"
"load-1046-2","OZONA 0-2","1046"
"load-1054-1","STANTON 0-1","1054"
"load-1054-2","STANTON 0-2","1054"
"load-1054-3","STANTON 0-3","1054"
"load-1055-1","ODONNELL 0-1","1055"
"load-1058-1","IRAAN 3 0-1","1058"
"load-1058-2","IRAAN 3 0-2","1058"
"load-1064-1","ODESSA 3 0-1","1064"
"load-1064-2","ODESSA 3 0-2","1064"
"load-1067-1","BIG SPRIN~13-1","1067"
