ID,Name,NominalKV,Substation,Organization,ControlArea,FrequencySourcePriority
1001,"ODESSA 2 0",115,ODESSA,1_org,1_ca,0
1002,"PRESIDIO 2 0",115,PRESIDIO,1_org,1_ca,0
1003,"O DONNELL ~1",115,"O DONNELL",1_org,1_ca,0
1004,"O DONNELL ~2",230,"O DONNELL",1_org,1_ca,0
1005,"BIG SPRING~8",115,"BIG SPRING",1_org,1_ca,0
1006,"BIG SPRING~9",13.8,"BIG SPRING",1_org,1_ca,0
1007,"VAN HORN 0",115,"VAN HORN",1_org,1_ca,0
1008,"IRAAN 2 0",115,IRAAN,1_org,1_ca,0
1009,"IRAAN 2 1",13.8,IRAAN,1_org,1_ca,0
1010,"PRESIDIO 1 0",115,PRESIDIO,1_org,1_ca,0
1011,"PRESIDIO 1 1",22,PRESIDIO,1_org,1_ca,0
1012,"SANDERSON 0",115,SANDERSON,1_org,1_ca,0
1013,"MONAHANS 2 0",115,MONAHANS,1_org,1_ca,0
1014,"GRANDFALLS 0",115,GRANDFALLS,1_org,1_ca,0
1015,"MARFA 0",115,MARFA,1_org,1_ca,0
1016,"GARDEN CIT~1",115,"GARDEN CITY",1_org,1_ca,0
1017,"ODESSA 4 0",115,ODESSA,1_org,1_ca,0
1018,"NOTREES 0",115,NOTREES,1_org,1_ca,0
1019,"MIDLAND 4 0",115,MIDLAND,1_org,1_ca,0
1020,"BIG SPRING~1",115,"BIG SPRING",1_org,1_ca,0
1021,"BIG SPRING~2",13.8,"BIG SPRING",1_org,1_ca,0
1022,"O DONNELL ~3",115,"O DONNELL",1_org,1_ca,0
1023,"O DONNELL ~4",13.8,"O DONNELL",1_org,1_ca,0
1024,"ODESSA 6 0",115,ODESSA,1_org,1_ca,0
1025,"BIG SPRIN~14",115,"BIG SPRING",1_org,1_ca,0
1026,"BIG SPRIN~15",13.8,"BIG SPRING",1_org,1_ca,0
1027,"MIDLAND 2 0",115,MIDLAND,1_org,1_ca,0
1028,"COAHOMA 0",115,COAHOMA,1_org,1_ca,0
1029,"MIDLAND 3 0",115,MIDLAND,1_org,1_ca,0
1030,"ALPINE 0",115,ALPINE,1_org,1_ca,0
1031,"FORT DAVIS 0",115,"FORT DAVIS",1_org,1_ca,0
1032,"MCCAMEY 1 0",115,MCCAMEY,1_org,1_ca,0
1033,"MCCAMEY 1 1",230,MCCAMEY,1_org,1_ca,0
1034,"BIG SPRING~6",115,"BIG SPRING",1_org,1_ca,0
1035,"BIG SPRING~7",13.8,"BIG SPRING",1_org,1_ca,0
1036,"CRANE 0",115,CRANE,1_org,1_ca,0
1037,"ODESSA 5 0",115,ODESSA,1_org,1_ca,0
1038,"FORT STOCK~1",115,"FORT STOCKTON",1_org,1_ca,0
1039,"FORT STOCK~2",22,"FORT STOCKTON",1_org,1_ca,0
1040,"ANDREWS 0",115,ANDREWS,1_org,1_ca,0
1041,"FORSAN 0",115,FORSAN,1_org,1_ca,0
1042,"FORSAN 1",13.8,FORSAN,1_org,1_ca,0
1043,"FORSAN 2",13.8,FORSAN,1_org,1_ca,0
1044,"BIG LAKE 0",115,"BIG LAKE",1_org,1_ca,0
1045,"MIDLAND 5 0",115,MIDLAND,1_org,1_ca,0
1046,"OZONA 0",115,OZONA,1_org,1_ca,0
1047,"MONAHANS 1 0",115,MONAHANS,1_org,1_ca,0
1048,"MONAHANS 1 1",18,MONAHANS,1_org,1_ca,0
1049,"MONAHANS 1 2",18,MONAHANS,1_org,1_ca,0
1050,"MONAHANS 1 3",18,MONAHANS,1_org,1_ca,0
1051,"MONAHANS 1 4",18,MONAHANS,1_org,1_ca,0
1052,"MONAHANS 1 5",18,MONAHANS,1_org,1_ca,0
1053,"MONAHANS 1 6",230,MONAHANS,1_org,1_ca,0
1054,"STANTON 0",115,STANTON,1_org,1_ca,0
1055,"ODONNELL 0",115,ODONNELL,1_org,1_ca,0
1056,"LENORAH 0",115,LENORAH,1_org,1_ca,0
1057,"LENORAH 1",18,LENORAH,1_org,1_ca,0
1058,"IRAAN 3 0",115,IRAAN,1_org,1_ca,0
1059,"IRAAN 3 1",22,IRAAN,1_org,1_ca,0
1060,"IRAAN 3 2",22,IRAAN,1_org,1_ca,0
1061,"BIG SPRIN~10",115,"BIG SPRING",1_org,1_ca,0
1062,"BIG SPRIN~11",13.8,"BIG SPRING",1_org,1_ca,0
1063,"BIG SPRIN~12",13.8,"BIG SPRING",1_org,1_ca,0
1064,"ODESSA 3 0",115,ODESSA,1_org,1_ca,0
1065,"BIG SPRING~4",115,"BIG SPRING",1_org,1_ca,0
1066,"BIG SPRING~5",13.8,"BIG SPRING",1_org,1_ca,0
1067,"BIG SPRIN~13",115,"BIG SPRING",1_org,1_ca,0
1068,"MIDLAND 1 0",115,MIDLAND,1_org,1_ca,0
1069,"IRAAN 1 0",115,IRAAN,1_org,1_ca,0
1070,"IRAAN 1 1",13.8,IRAAN,1_org,1_ca,0
1071,"ODESSA 1 0",115,ODESSA,1_org,1_ca,0
1072,"ODESSA 1 1",18,ODESSA,1_org,1_ca,0
1073,"ODESSA 1 2",18,ODESSA,1_org,1_ca,0
1074,"ODESSA 1 3",18,ODESSA,1_org,1_ca,0
1075,"ODESSA 1 4",18,ODESSA,1_org,1_ca,0
1076,"ODESSA 1 5",18,ODESSA,1_org,1_ca,0
1077,"ODESSA 1 6",18,ODESSA,1_org,1_ca,0
1078,"ODESSA 1 7",18,ODESSA,1_org,1_ca,0
1079,"ODESSA 1 8",500,ODESSA,1_org,1_ca,0
1080,"ODESSA 1 9",18,ODESSA,1_org,1_ca,0
1081,"ODESSA 1 10",230,ODESSA,1_org,1_ca,0
1082,"FORT STOCK~3",115,"FORT STOCKTON",1_org,1_ca,0
1083,"FORT STOCK~4",115,"FORT STOCKTON",1_org,1_ca,0
1084,"BIG SPRING~3",115,"BIG SPRING",1_org,1_ca,0
1085,"KERMIT 0",115,KERMIT,1_org,1_ca,0
1086,"PECOS 0",115,PECOS,1_org,1_ca,0
1087,"SHEFFIELD 0",115,SHEFFIELD,1_org,1_ca,0
1088,"MCCAMEY 2 0",115,MCCAMEY,1_org,1_ca,0
1089,"LAMESA 0",115,LAMESA,1_org,1_ca,0
1090,"GOLDSMITH 0",115,GOLDSMITH,1_org,1_ca,0
1091,"RALLS 2 0",161,RALLS,1_org,1_ca,0
2001,"PARIS 3 0",161,PARIS,1_org,2_ca,0
2002,"SAVOY 0",500,SAVOY,1_org,2_ca,0
2003,"SAVOY 1",161,SAVOY,1_org,2_ca,0
2004,"SAVOY 2",13.8,SAVOY,1_org,2_ca,0
2005,"SAVOY 3",13.8,SAVOY,1_org,2_ca,0
2006,"SAVOY 4",13.8,SAVOY,1_org,2_ca,0
2007,"HONEY GROV~1",161,"HONEY GROVE",1_org,2_ca,0
2008,"MEMPHIS 0",161,MEMPHIS,1_org,2_ca,0
2009,"IOWA PARK 0",161,"IOWA PARK",1_org,2_ca,0
2010,"VERNON 2 0",161,VERNON,1_org,2_ca,0
2011,"PANHANDLE ~2",500,PANHANDLE,1_org,2_ca,0
2012,"PANHANDLE ~3",161,PANHANDLE,1_org,2_ca,0
2013,"PANHANDLE ~4",18,PANHANDLE,1_org,2_ca,0
2014,"CHILDRESS 0",161,CHILDRESS,1_org,2_ca,0
2015,"FORESTBURG 0",161,FORESTBURG,1_org,2_ca,0
2016,"SHERMAN 3 0",161,SHERMAN,1_org,2_ca,0
2017,"PANHANDLE ~7",500,PANHANDLE,1_org,2_ca,0
2018,"PANHANDLE ~8",161,PANHANDLE,1_org,2_ca,0
2019,"PANHANDLE ~9",20,PANHANDLE,1_org,2_ca,0
2020,"WICHITA F~12",161,"WICHITA FALLS",1_org,2_ca,0
2021,"PARIS 2 0",500,PARIS,1_org,2_ca,0
2022,"PARIS 2 1",161,PARIS,1_org,2_ca,0
2023,"PARIS 2 2",13.8,PARIS,1_org,2_ca,0
2024,"PARIS 2 3",13.8,PARIS,1_org,2_ca,0
2025,"WICHITA F~10",161,"WICHITA FALLS",1_org,2_ca,0
2026,"WHEELER 0",161,WHEELER,1_org,2_ca,0
2027,"DEPORT 0",161,DEPORT,1_org,2_ca,0
2028,"WICHITA FA~9",161,"WICHITA FALLS",1_org,2_ca,0
2029,"SILVERTON 0",161,SILVERTON,1_org,2_ca,0
2030,"BONHAM 0",161,BONHAM,1_org,2_ca,0
2031,"MATADOR 0",161,MATADOR,1_org,2_ca,0
2032,"ARTHUR CIT~1",161,"ARTHUR CITY",1_org,2_ca,0
2033,"LEONARD 0",161,LEONARD,1_org,2_ca,0
2034,GORDONVILL~1,161,GORDONVILLE,1_org,2_ca,0
2035,"KNOX CITY 0",161,"KNOX CITY",1_org,2_ca,0
2036,"WICHITA F~13",161,"WICHITA FALLS",1_org,2_ca,0
2037,"LINDSAY 0",161,LINDSAY,1_org,2_ca,0
2038,"ECTOR 0",161,ECTOR,1_org,2_ca,0
2039,"SUNSET 0",161,SUNSET,1_org,2_ca,0
2040,CLARKSVILL~1,161,CLARKSVILLE,1_org,2_ca,0
2041,"PANHANDLE ~5",161,PANHANDLE,1_org,2_ca,0
2042,"PANHANDLE ~6",18,PANHANDLE,1_org,2_ca,0
2043,"SADLER 0",161,SADLER,1_org,2_ca,0
2044,"WHITESBORO 0",161,WHITESBORO,1_org,2_ca,0
2045,"SHEPPARD A~1",161,"SHEPPARD AFB",1_org,2_ca,0
2046,"POTTSBORO 0",161,POTTSBORO,1_org,2_ca,0
2047,"BELLS 0",161,BELLS,1_org,2_ca,0
2048,"CROSBYTON 0",161,CROSBYTON,1_org,2_ca,0
2049,"ELECTRA 0",161,ELECTRA,1_org,2_ca,0
2050,PATTONVILL~1,161,PATTONVILLE,1_org,2_ca,0
2051,"HENRIETTA 0",161,HENRIETTA,1_org,2_ca,0
2052,PANHANDLE~13,161,PANHANDLE,1_org,2_ca,0
2053,"BOWIE 0",161,BOWIE,1_org,2_ca,0
2054,"WICHITA FA~1",500,"WICHITA FALLS",1_org,2_ca,0
2055,"WICHITA FA~2",161,"WICHITA FALLS",1_org,2_ca,0
2056,"WICHITA FA~3",18,"WICHITA FALLS",1_org,2_ca,0
2057,"WICHITA FA~4",18,"WICHITA FALLS",1_org,2_ca,0
2058,"WHITE DEER 0",161,"WHITE DEER",1_org,2_ca,0
2059,"WHITE DEER 1",13.8,"WHITE DEER",1_org,2_ca,0
2060,"ROXTON 0",161,ROXTON,1_org,2_ca,0
2061,"VERNON 1 0",161,VERNON,1_org,2_ca,0
2062,"VERNON 1 1",18,VERNON,1_org,2_ca,0
2063,"DENISON 2 0",161,DENISON,1_org,2_ca,0
2064,"SUMNER 0",161,SUMNER,1_org,2_ca,0
2065,GAINESVILL~1,161,GAINESVILLE,1_org,2_ca,0
2066,"ASPERMONT 0",161,ASPERMONT,1_org,2_ca,0
2067,"WICHITA F~11",161,"WICHITA FALLS",1_org,2_ca,0
2068,"WINDTHORST 0",161,WINDTHORST,1_org,2_ca,0
2069,"HOWE 0",161,HOWE,1_org,2_ca,0
2070,"ARCHER 2 0",161,"ARCHER CITY",1_org,2_ca,0
2071,"ARCHER 2 1",18,"ARCHER CITY",1_org,2_ca,0
2072,COLLINSVIL~1,161,COLLINSVILLE,1_org,2_ca,0
2073,"JAYTON 0",161,JAYTON,1_org,2_ca,0
2074,"JAYTON 1",115,JAYTON,1_org,2_ca,0
2075,"JAYTON 2",115,JAYTON,1_org,2_ca,0
2076,"JAYTON 3",24,JAYTON,1_org,2_ca,0
2077,"MUENSTER 1 0",161,MUENSTER,1_org,2_ca,0
2078,"MUENSTER 1 1",13.8,MUENSTER,1_org,2_ca,0
2079,"PADUCAH 0",161,PADUCAH,1_org,2_ca,0
2080,"NOCONA 0",161,NOCONA,1_org,2_ca,0
2081,"DODD CITY 0",161,"DODD CITY",1_org,2_ca,0
2082,"WICHITA FA~5",161,"WICHITA FALLS",1_org,2_ca,0
2083,"WICHITA FA~6",20,"WICHITA FALLS",1_org,2_ca,0
2084,"WICHITA FA~7",20,"WICHITA FALLS",1_org,2_ca,0
2085,"WICHITA FA~8",20,"WICHITA FALLS",1_org,2_ca,0
2086,"MONTAGUE 0",161,MONTAGUE,1_org,2_ca,0
2087,"SPUR 0",161,SPUR,1_org,2_ca,0
2088,"ARCHER 1 0",161,ANDREWS,1_org,2_ca,0
2089,"ARCHER 1 1",24,"ARCHER CITY",1_org,2_ca,0
2090,"ANNONA 0",161,ANNONA,1_org,2_ca,0
2091,"SEYMOUR 0",161,SEYMOUR,1_org,2_ca,0
2092,"DENISON 1 0",161,DENISON,1_org,2_ca,0
2093,PANHANDLE~10,161,PANHANDLE,1_org,2_ca,0
2094,PANHANDLE~11,13.8,PANHANDLE,1_org,2_ca,0
2095,PANHANDLE~12,13.8,PANHANDLE,1_org,2_ca,0
2096,"RALLS 1 0",500,RALLS,1_org,2_ca,0
2097,"RALLS 1 1",230,RALLS,1_org,2_ca,0
2098,"RALLS 1 2",161,RALLS,1_org,2_ca,0
