"ID","MW1","MVAr1","MW2","MVAr2","InService","SETelemMW1","SETelemMVAr1","SETelemMW2","SETelemMVAr2","SESigmaMW1","SESigmaMVAr1","SESigmaMW2","SESigmaMVAr2"
"ln-1001-1064-1",67.52942,10.883331,-67.2735,-9.714699,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1001-1064-2",67.52942,10.883331,-67.2735,-9.714699,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1001-1071-1",-77.91996,-13.824844,78.20358,15.137482,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1001-1071-2",-77.91996,-13.824844,78.20358,15.137482,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1002-1007-1",1.1725396,-5.011654,-1.1691421,-1.5138865,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1002-1010-1",-16.586376,0.6501198,16.736626,-2.1188736,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1003-1022-1",-77.42453,3.2512665,77.710724,-2.4131775,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1003-1055-1",49.19367,0.7034302,-48.819828,-0.32348633,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1004-3133-1",186.4444,-35.25467,-184.97882,40.05966,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1005-1025-1",-41.661118,-3.405285,41.97843,3.588581,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1005-1061-1",77.32754,-21.517181,-76.94673,22.668457,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1005-1067-1",-9.977245,19.312096,10.058975,-19.66362,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1007-1015-1",-1.2809068,-2.9217482,1.281932,-2.358985,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1007-1031-1",-4.557949,1.5972137,4.573989,-5.7627916,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1008-1032-1",57.59826,-5.139351,-56.152798,7.2024345,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1008-1069-1",4.0949345,-10.418892,-4.08535,9.884262,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1010-1015-1",8.827991,-4.0052176,-8.790946,0.2322197,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1010-1030-1",-15.5997305,2.617526,15.759981,-6.839037,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1012-1087-1",-75.99572,16.186619,78.967285,-7.4238777,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1012-3051-1",73.01094,-7.395673,-69.98757,16.810036,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1013-1031-1",13.915125,-6.3135624,-13.819957,3.143859,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1013-1047-1",-58.487606,10.270119,58.818962,-9.309578,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1013-1086-1",15.346348,-12.236786,-15.068615,10.333014,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1014-1047-1",17.490614,-0.42042732,-17.383898,-1.6913891,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1014-1083-1",-19.710625,-0.20809174,19.866764,-1.862669,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1016-1034-1",-16.648376,14.019299,16.735888,-15.017319,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1016-1068-1",13.759363,16.242647,-13.626968,-17.878723,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1017-1018-1",-26.384592,-1.2133598,26.617813,0.77819824,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1017-1029-1",36.857162,-22.564983,-36.24395,23.119783,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1017-1037-1",57.505035,8.3667755,-57.241104,-7.6604843,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1017-1047-1",-86.32283,10.215664,89.15465,-0.31347275,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1018-1024-1",-26.68655,-0.7911682,26.765871,0.38833618,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1019-1040-1",-13.930798,4.517126,14.047062,-7.5163364,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1019-1045-1",105.11636,17.84668,-103.383255,-14.086533,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1019-1071-1",-43.91775,51.51024,44.120884,-50.751114,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1019-1071-2",-43.91775,51.51024,44.120884,-50.751114,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1019-1084-1",-65.126976,-0.04673004,66.40103,4.286051,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1020-1025-1",-50.558853,23.187256,50.806236,-22.76535,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1020-1084-1",34.14321,-9.731102,-34.016132,9.596825,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1020-3059-1",63.442516,1.582241,-62.710667,0.12407303,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1020-3130-1",101.85282,13.792515,-100.84,-7.897091,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1022-1028-1",28.166283,-8.154678,-28.048038,7.1035385,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1022-1028-2",28.166283,-8.154678,-28.048038,7.1035385,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1024-1090-1",-89.80486,-18.249321,91.00308,22.652817,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1027-1045-1",-15.317965,28.542042,15.590119,-28.992271,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1027-1056-1",-85.89287,18.595982,88.28337,-13.776207,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1028-3109-1",46.08183,-17.044067,-45.981884,17.186356,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1029-1056-1",-46.93997,-6.48098,47.396732,7.2873116,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1030-1038-1",-23.69,1.0895967,24.10913,-5.2348137,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1030-1083-1",-16.696968,-1.222229,16.87656,-3.5384893,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1032-1036-1",3.7845254,1.1837006,-3.7809372,-2.7535439,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1032-1038-1",-67.97443,15.606451,70.170975,-11.763287,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1033-1081-1",102.93391,-21.909332,-102.616165,19.072723,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1033-3050-1",225.48006,-0.5249977,-218.62267,40.605927,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1034-1067-1",50.56181,3.5596848,-50.35939,-2.9951096,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1036-1088-1",-9.815049,-1.0993958,9.835041,-0.5542755,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1037-1071-1",-44.995834,-21.294785,45.169212,21.621513,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1038-1082-1",-61.20114,8.482361,61.6137,-7.399559,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1038-1083-1",77.29971,-18.906593,-76.68824,21.2389,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1040-1090-1",-58.40508,-5.0506115,59.442677,7.691717,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1041-1065-1",-17.283106,-9.18541,17.297506,8.935547,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1041-1067-1",30.662441,2.9613495,-30.625153,-3.0601501,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1041-1067-2",30.662441,2.9613495,-30.625153,-3.0601501,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1044-3019-1",46.567524,-17.380667,-45.643723,18.909073,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1044-3130-1",-61.249447,13.225889,62.319214,-8.912373,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1045-1064-1",-10.7678175,15.172195,10.788131,-15.620041,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1046-1087-1",-76.0504,19.06972,78.0002,-12.796879,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1046-3009-1",64.96563,-9.764671,-62.62953,15.359139,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1047-1085-1",55.55296,-14.324951,-55.246044,15.123749,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1053-1081-1",80.166435,-18.980026,-79.97282,14.689255,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1054-1056-1",-11.887264,-15.017605,11.9627,13.845444,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1054-1089-1",-3.1009197,10.765195,3.237772,-13.183427,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1055-1089-1",44.84172,-0.80418587,-43.842793,1.6794682,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1056-1061-1",-60.539448,22.642422,61.45991,-19.383621,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1056-1065-1",-87.10348,32.402515,89.00153,-23.554754,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1058-1069-1",-86.64353,7.6444626,87.18271,-4.7676086,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1058-1069-2",-86.64353,7.6444626,87.18271,-4.7676086,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1058-1087-1",79.91611,-9.5469475,-78.93825,14.495182,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1058-1087-2",79.91611,-9.5469475,-78.93825,14.495182,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1061-3042-1",15.486813,-3.2877445,-15.357197,0.8943081,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-1068-1088-1",-45.776047,1.0528088,46.414703,0.085401535,true,true,true,true,true,1.0,1.0,1.0,1.0
