"ID","MW","MVAr","ConstMvaMW","ConstMvaMVAr","ConstIMW","ConstIMVAr","ConstYMW","ConstYMVAr","InService"
"load-1001-1",20.781,5.888,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1002-1",15.414,4.367,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1007-1",7.008,1.986,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1012-1",2.985,0.846,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1013-1",0.51,0.144,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1013-2",1.518,0.43,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1013-3",27.197998,7.706,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1014-1",2.22,0.629,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1015-1",7.509,2.128,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1016-1",2.889,0.81900007,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1017-1",18.345,5.198,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1018-1",0.069,0.02,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1019-1",61.776,17.503,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1024-1",63.038998,17.861,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1027-1",0.603,0.171,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1027-2",100.608,28.506002,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1028-1",1.425,0.404,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1028-2",0.753,0.213,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1028-3",4.899,1.388,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1028-4",2.937,0.832,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1029-1",83.184,23.569,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1030-1",23.046,6.53,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1030-2",1.581,0.448,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1031-1",9.246,2.62,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1036-1",1.017,0.288,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1036-2",12.579,3.5639997,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1037-1",102.237,28.967,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1040-1",44.358,12.568,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1044-1",4.512,1.278,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1044-2",10.17,2.881,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1045-1",98.562,27.926,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1046-1",0.006,0.002,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1046-2",11.079,3.139,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1054-1",1.7760001,0.503,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1054-2",0.519,0.147,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1054-3",12.693,3.596,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1055-1",3.978,1.127,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1058-1",4.086,1.158,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1058-2",9.369,2.655,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-1064-1",6.5910006,1.867,1.0,1.0,0.0,0.0,0.0,0.0,true
