"ID","MW1","MVAr1","MW2","MVAr2","InService","SETelemMW1","SETelemMVAr1","SETelemMW2","SETelemMVAr2","SESigmaMW1","SESigmaMVAr1","SESigmaMW2","SESigmaMVAr2"
"tx2-8160-8159-2:wnd1",-116.28604,-1.6738892,116.39073,8.226967,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-8160-8159-1:wnd1",-116.28604,-1.6738892,116.39073,8.226967,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-8159-8158-1:wnd1",-454.9427,1.3931274,455.2013,25.74234,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-8157-8156-1:wnd1",-109.13577,-2.496338,109.28755,10.292816,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-8156-8155-1:wnd1",46.99725,-23.972893,-46.97649,25.25444,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-8149-8148-1:wnd1",-108.76016,-4.1448593,109.07052,12.364578,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-8148-8147-2:wnd1",-114.12737,-11.131668,114.19145,15.885162,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-8148-8147-1:wnd1",-114.12737,-11.131668,114.19145,15.885162,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-8140-8139-1:wnd1",-188.84518,-17.396164,188.98079,26.620102,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-8134-8133-2:wnd1",-154.65945,3.8108826,154.8151,4.3807983,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-8134-8133-1:wnd1",-154.65945,3.8108826,154.8151,4.3807983,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-8128-8127-1:wnd1",-196.248,1.279068,196.39369,6.653595,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-8131-8126-1:wnd1",658.1543,-27.656555,-657.74524,53.05786,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-8130-8126-1:wnd1",658.15454,-4.4700623,-657.093,54.079437,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-8129-8126-1:wnd1",658.1542,-38.796997,-657.82635,58.75244,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-8127-8126-2:wnd1",-269.40466,-21.022034,269.4804,26.509094,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-8127-8126-1:wnd1",-269.40466,-21.022034,269.4804,26.509094,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-8114-8113-1:wnd1",-115.25826,-10.469437,115.35723,14.52446,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-8117-8112-1:wnd1",227.50824,90.71655,-227.36955,-84.51538,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-8116-8112-1:wnd1",2.3841858E-5,7.6293945E-4,-2.3841858E-5,-0.0015258789,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-8115-8112-1:wnd1",2.9802322E-6,3.8146973E-4,-5.9604645E-6,-3.8146973E-4,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-8113-8112-1:wnd1",-327.4731,-84.9823,327.57108,90.21759,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-8106-8105-1:wnd1",-120.208694,-21.613693,120.3542,30.327606,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-8099-8097-1:wnd1",85.49961,-9.536743E-5,-85.287926,6.776619,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-8098-8097-1:wnd1",-63.285793,-1.8406868,63.43019,5.7315826,true,true,true,true,true,1.0,1.0,1.0,1.0
