"ID","TransformerWinding","TapNode","IsRegulating","RegulatedNode"
"tx2-8160-8159-2:tap2","tx2-8160-8159-2:wnd1","8159","false",""
"tx2-8160-8159-1:tap2","tx2-8160-8159-1:wnd1","8159","false",""
"tx2-8159-8158-1:tap2","tx2-8159-8158-1:wnd1","8158","false",""
"tx2-8157-8156-1:tap2","tx2-8157-8156-1:wnd1","8156","false",""
"tx2-8156-8155-1:tap2","tx2-8156-8155-1:wnd1","8155","false",""
"tx2-8149-8148-1:tap2","tx2-8149-8148-1:wnd1","8148","false",""
"tx2-8148-8147-2:tap2","tx2-8148-8147-2:wnd1","8147","false",""
"tx2-8148-8147-1:tap2","tx2-8148-8147-1:wnd1","8147","false",""
"tx2-8140-8139-1:tap2","tx2-8140-8139-1:wnd1","8139","false",""
"tx2-8134-8133-2:tap2","tx2-8134-8133-2:wnd1","8133","false",""
"tx2-8134-8133-1:tap2","tx2-8134-8133-1:wnd1","8133","false",""
"tx2-8128-8127-1:tap2","tx2-8128-8127-1:wnd1","8127","false",""
"tx2-8131-8126-1:tap2","tx2-8131-8126-1:wnd1","8126","false",""
"tx2-8130-8126-1:tap2","tx2-8130-8126-1:wnd1","8126","false",""
"tx2-8129-8126-1:tap2","tx2-8129-8126-1:wnd1","8126","false",""
"tx2-8127-8126-2:tap2","tx2-8127-8126-2:wnd1","8126","false",""
"tx2-8127-8126-1:tap2","tx2-8127-8126-1:wnd1","8126","false",""
"tx2-8114-8113-1:tap2","tx2-8114-8113-1:wnd1","8113","false",""
"tx2-8117-8112-1:tap2","tx2-8117-8112-1:wnd1","8112","false",""
"tx2-8116-8112-1:tap2","tx2-8116-8112-1:wnd1","8112","false",""
"tx2-8115-8112-1:tap2","tx2-8115-8112-1:wnd1","8112","false",""
"tx2-8113-8112-1:tap2","tx2-8113-8112-1:wnd1","8112","false",""
"tx2-8106-8105-1:tap2","tx2-8106-8105-1:wnd1","8105","false",""
"tx2-8099-8097-1:tap2","tx2-8099-8097-1:wnd1","8097","false",""
