ID,Name
ODESSA,ODESSA
PRESIDIO,PRESIDIO
"O DONNELL","O DONNELL"
"BIG SPRING","BIG SPRING"
"VAN HORN","VAN HORN"
IRAAN,IRAAN
SANDERSON,SANDERSON
MONAHANS,MONAHANS
GRANDFALLS,GRANDFALLS
MARFA,MARFA
"GARDEN CITY","GARDEN CITY"
NOTREES,NOTREES
MIDLAND,MIDLAND
COAHOMA,COAHOMA
ALPINE,ALPINE
"FORT DAVIS","FORT DAVIS"
MCCAMEY,MCCAMEY
CRANE,CRANE
"FORT STOCKTON","FORT STOCKTON"
ANDREWS,ANDREWS
FORSAN,FORSAN
"BIG LAKE","BIG LAKE"
OZONA,OZONA
STANTON,STANTON
ODONNELL,ODONNELL
LENORAH,LENORAH
KERMIT,KERMIT
PECOS,PECOS
SHEFFIELD,SHEFFIELD
LAMESA,LAMESA
GOLDSMITH,GOLDSMITH
RALLS,RALLS
PARIS,PARIS
SAVOY,SAVOY
"HONEY GROVE","HONEY GROVE"
MEMPHIS,MEMPHIS
"IOWA PARK","IOWA PARK"
VERNON,VERNON
PANHANDLE,PANHANDLE
CHILDRESS,CHILDRESS
FORESTBURG,FORESTBURG
SHERMAN,SHERMAN
"WICHITA FALLS","WICHITA FALLS"
WHEELER,WHEELER
DEPORT,DEPORT
SILVERTON,SILVERTON
BONHAM,BONHAM
MATADOR,MATADOR
"ARTHUR CITY","ARTHUR CITY"
LEONARD,LEONARD
GORDONVILLE,GORDONVILLE
"KNOX CITY","KNOX CITY"
LINDSAY,LINDSAY
ECTOR,ECTOR
SUNSET,SUNSET
CLARKSVILLE,CLARKSVILLE
SADLER,SADLER
WHITESBORO,WHITESBORO
"SHEPPARD AFB","SHEPPARD AFB"
POTTSBORO,POTTSBORO
BELLS,BELLS
CROSBYTON,CROSBYTON
ELECTRA,ELECTRA
PATTONVILLE,PATTONVILLE
HENRIETTA,HENRIETTA
BOWIE,BOWIE
"WHITE DEER","WHITE DEER"
ROXTON,ROXTON
DENISON,DENISON
SUMNER,SUMNER
GAINESVILLE,GAINESVILLE
ASPERMONT,ASPERMONT
WINDTHORST,WINDTHORST
HOWE,HOWE
"ARCHER CITY","ARCHER CITY"
COLLINSVILLE,COLLINSVILLE
JAYTON,JAYTON
MUENSTER,MUENSTER
PADUCAH,PADUCAH
NOCONA,NOCONA
"DODD CITY","DODD CITY"
MONTAGUE,MONTAGUE
SPUR,SPUR
ANNONA,ANNONA
SEYMOUR,SEYMOUR
WHITEWRIGHT,WHITEWRIGHT
ROCHESTER,ROCHESTER
BURKBURNETT,BURKBURNETT
PETROLIA,PETROLIA
BAGWELL,BAGWELL
TELEPHONE,TELEPHONE
"VAN ALSTYNE","VAN ALSTYNE"
TIOGA,TIOGA
"VALLEY MILLS","VALLEY MILLS"
MIAMI,MIAMI
TRENTON,TRENTON
HASKELL,HASKELL
"SAINT JO","SAINT JO"
KERRVILLE,KERRVILLE
SWEETWATER,SWEETWATER
LEAKEY,LEAKEY
HAMILTON,HAMILTON
MERKEL,MERKEL
COLEMAN,COLEMAN
SONORA,SONORA
"CAMP WOOD","CAMP WOOD"
LLANO,LLANO
"WILLOW CITY","WILLOW CITY"
ABILENE,ABILENE
KINGSLAND,KINGSLAND
ROSCOE,ROSCOE
BLACKWELL,BLACKWELL
CHRISTOVAL,CHRISTOVAL
LUEDERS,LUEDERS
"COLORADO CITY","COLORADO CITY"
STAMFORD,STAMFORD
ELDORADO,ELDORADO
"SAN SABA","SAN SABA"
LOMETA,LOMETA
"SAN ANGELO","SAN ANGELO"
TUSCOLA,TUSCOLA
SNYDER,SNYDER
CHEROKEE,CHEROKEE
"RICHLAND SPRINGS","RICHLAND SPRINGS"
BALLINGER,BALLINGER
SILVER,SILVER
ANSON,ANSON
"DEL RIO","DEL RIO"
HUNT,HUNT
WINGATE,WINGATE
"STERLING CITY","STERLING CITY"
BRADY,BRADY
TRENT,TRENT
OVALO,OVALO
NOLAN,NOLAN
MILES,MILES
BRACKETTVILLE,BRACKETTVILLE
MASON,MASON
HERMLEIGH,HERMLEIGH
LORAINE,LORAINE
ROCKSPRINGS,ROCKSPRINGS
FLUVANNA,FLUVANNA
"DYESS AFB","DYESS AFB"
HAWLEY,HAWLEY
"BUCHANAN DAM","BUCHANAN DAM"
INGRAM,INGRAM
KEMPNER,KEMPNER
ROTAN,ROTAN
UVALDE,UVALDE
FREDERICKSBURG,FREDERICKSBURG
SABINAL,SABINAL
EDEN,EDEN
MENARD,MENARD
WINTERS,WINTERS
GOLDSBORO,GOLDSBORO
"GOODFELLOW AFB","GOODFELLOW AFB"
"SANTA ANNA","SANTA ANNA"
ROWENA,ROWENA
JUNCTION,JUNCTION
LAMPASAS,LAMPASAS
"LAUGHLIN A F B","LAUGHLIN A F B"
EDINBURG,EDINBURG
LAREDO,LAREDO
BRUNI,BRUNI
MCALLEN,MCALLEN
POTEET,POTEET
SARITA,SARITA
HEBBRONVILLE,HEBBRONVILLE
PROGRESO,PROGRESO
"EAGLE PASS","EAGLE PASS"
CHARLOTTE,CHARLOTTE
"CORPUS CHRISTI","CORPUS CHRISTI"
WOODSBORO,WOODSBORO
MERCEDES,MERCEDES
EDCOUCH,EDCOUCH
ENCINAL,ENCINAL
MOORE,MOORE
CHRISTINE,CHRISTINE
FANNIN,FANNIN
"SAN YGNACIO","SAN YGNACIO"
HIDALGO,HIDALGO
"CRYSTAL CITY","CRYSTAL CITY"
SINTON,SINTON
BEEVILLE,BEEVILLE
MISSION,MISSION
"SAN JUAN","SAN JUAN"
"FALCON HEIGHTS","FALCON HEIGHTS"
"LA JOYA","LA JOYA"
SEBASTIAN,SEBASTIAN
BISHOP,BISHOP
ARMSTRONG,ARMSTRONG
SKIDMORE,SKIDMORE
GREGORY,GREGORY
WESLACO,WESLACO
HARLINGEN,HARLINGEN
ELSA,ELSA
BROWNSVILLE,BROWNSVILLE
"RIO HONDO","RIO HONDO"
PHARR,PHARR
"SANTA ROSA","SANTA ROSA"
ODEM,ODEM
OLMITO,OLMITO
TAFT,TAFT
"PORT ISABEL","PORT ISABEL"
DONNA,DONNA
INGLESIDE,INGLESIDE
"LOS FRESNOS","LOS FRESNOS"
RIVIERA,RIVIERA
JOURDANTON,JOURDANTON
"GEORGE WEST","GEORGE WEST"
ROMA,ROMA
"SANTA MARIA","SANTA MARIA"
FALFURRIAS,FALFURRIAS
PETTUS,PETTUS
ALICE,ALICE
"RIO GRANDE CITY","RIO GRANDE CITY"
PREMONT,PREMONT
FREER,FREER
PEARSALL,PEARSALL
SANDIA,SANDIA
DILLEY,DILLEY
"ORANGE GROVE","ORANGE GROVE"
PORTLAND,PORTLAND
"THREE RIVERS","THREE RIVERS"
ROCKPORT,ROCKPORT
PENITAS,PENITAS
"SULLIVAN CITY","SULLIVAN CITY"
GRULLA,GRULLA
HARGILL,HARGILL
MATHIS,MATHIS
"ARANSAS PASS","ARANSAS PASS"
"SAN BENITO","SAN BENITO"
PLEASANTON,PLEASANTON
REFUGIO,REFUGIO
LYTLE,LYTLE
GOLIAD,GOLIAD
"SAN DIEGO","SAN DIEGO"
"PORT ARANSAS","PORT ARANSAS"
"SAN PERLITA","SAN PERLITA"
