"ID","Name","Transformer","Node1","Node2","R","X","Gmag","Bmag","PhaseShift","NormalOperatingLimit","ShortTermLimit","EmergencyLimit"
"tx2-8160-8159-2:wnd1","BRYAN 1 2-BRYAN 1 1","tx2-8160-8159-2","8160","8159",8.0E-4,0.05008,0.0,0.0,0.0,377.0,0.0,0.0
"tx2-8160-8159-1:wnd1","BRYAN 1 2-BRYAN 1 1","tx2-8160-8159-1","8160","8159",8.0E-4,0.05008,0.0,0.0,0.0,377.0,0.0,0.0
"tx2-8159-8158-1:wnd1","BRYAN 1 1-BRYAN 1 0","tx2-8159-8158-1","8159","8158",1.3E-4,0.01364,0.0,0.0,0.0,1204.0,0.0,0.0
"tx2-8157-8156-1:wnd1","BREMOND 2-BREMOND 1","tx2-8157-8156-1","8157","8156",0.0013,0.06678,0.0,0.0,0.0,240.0,0.0,0.0
"tx2-8156-8155-1:wnd1","BREMOND 1-BREMOND 0","tx2-8156-8155-1","8156","8155",7.7E-4,0.04753,0.0,0.0,0.0,500.0,0.0,0.0
"tx2-8149-8148-1:wnd1","TRINIDAD 1 2-TRINIDAD 1 1","tx2-8149-8148-1","8149","8148",0.00259,0.0686,0.0,0.0,0.0,254.0,0.0,0.0
"tx2-8148-8147-2:wnd1","TRINIDAD 1 1-TRINIDAD 1 0","tx2-8148-8147-2","8148","8147",4.9E-4,0.03635,0.0,0.0,0.0,201.3,0.0,0.0
"tx2-8148-8147-1:wnd1","TRINIDAD 1 1-TRINIDAD 1 0","tx2-8148-8147-1","8148","8147",4.9E-4,0.03635,0.0,0.0,0.0,201.3,0.0,0.0
"tx2-8140-8139-1:wnd1","COLLEGE ST~4-COLLEGE ST~3","tx2-8140-8139-1","8140","8139",3.7E-4,0.02517,0.0,0.0,0.0,365.0,0.0,0.0
"tx2-8134-8133-2:wnd1","TYLER 7 1-TYLER 7 0","tx2-8134-8133-2","8134","8133",6.7E-4,0.03526,0.0,0.0,0.0,300.0,0.0,0.0
"tx2-8134-8133-1:wnd1","TYLER 7 1-TYLER 7 0","tx2-8134-8133-1","8134","8133",6.7E-4,0.03526,0.0,0.0,0.0,300.0,0.0,0.0
"tx2-8128-8127-1:wnd1","MOUNT PLEA~3-MOUNT PLEA~2","tx2-8128-8127-1","8128","8127",4.0E-4,0.02178,0.0,0.0,0.0,286.0,0.0,0.0
"tx2-8131-8126-1:wnd1","MOUNT PLEA~6-MOUNT PLEA~1","tx2-8131-8126-1","8131","8126",1.0E-4,0.00621,0.0,0.0,0.0,1173.0,0.0,0.0
"tx2-8130-8126-1:wnd1","MOUNT PLEA~5-MOUNT PLEA~1","tx2-8130-8126-1","8130","8126",2.6E-4,0.01215,0.0,0.0,0.0,1192.0,0.0,0.0
"tx2-8129-8126-1:wnd1","MOUNT PLEA~4-MOUNT PLEA~1","tx2-8129-8126-1","8129","8126",8.0E-5,0.00487,0.0,0.0,0.0,1190.0,0.0,0.0
"tx2-8127-8126-2:wnd1","MOUNT PLEA~2-MOUNT PLEA~1","tx2-8127-8126-2","8127","8126",1.1E-4,0.00797,0.0,0.0,0.0,1175.0,0.0,0.0
"tx2-8127-8126-1:wnd1","MOUNT PLEA~2-MOUNT PLEA~1","tx2-8127-8126-1","8127","8126",1.1E-4,0.00797,0.0,0.0,0.0,1175.0,0.0,0.0
"tx2-8114-8113-1:wnd1","JACKSONVIL~3-JACKSONVIL~2","tx2-8114-8113-1","8114","8113",7.7E-4,0.03155,0.0,0.0,0.0,190.0,0.0,0.0
"tx2-8117-8112-1:wnd1","JACKSONVIL~6-JACKSONVIL~1","tx2-8117-8112-1","8117","8112",2.5E-4,0.01118,0.0,0.0,0.0,1034.0,0.0,0.0
"tx2-8116-8112-1:wnd1","JACKSONVIL~5-JACKSONVIL~1","tx2-8116-8112-1","8116","8112",2.4E-4,0.01298,0.0,0.0,0.0,1026.0,0.0,0.0
"tx2-8115-8112-1:wnd1","JACKSONVIL~4-JACKSONVIL~1","tx2-8115-8112-1","8115","8112",7.1E-4,0.04514,0.0,0.0,0.0,273.0,0.0,0.0
"tx2-8113-8112-1:wnd1","JACKSONVIL~2-JACKSONVIL~1","tx2-8113-8112-1","8113","8112",9.0E-5,0.00481,0.0,0.0,0.0,1290.0,0.0,0.0
"tx2-8106-8105-1:wnd1","MOUNT PLEA~8-MOUNT PLEA~7","tx2-8106-8105-1","8106","8105",9.8E-4,0.05869,0.0,0.0,0.0,190.0,0.0,0.0
"tx2-8099-8097-1:wnd1","CUSHING 1 2-CUSHING 1 0","tx2-8099-8097-1","8099","8097",0.00303,0.097,0.0,0.0,0.0,184.0,0.0,0.0
"tx2-8098-8097-1:wnd1","CUSHING 1 1-CUSHING 1 0","tx2-8098-8097-1","8098","8097",0.00373,0.10051,0.0,0.0,0.0,149.0,0.0,0.0
"tx2-8095-8094-1:wnd1","COLLEGE ST~2-COLLEGE ST~1","tx2-8095-8094-1","8095","8094",4.1E-4,0.03017,0.0,0.0,0.0,317.0,0.0,0.0
"tx2-8086-8085-1:wnd1","FRANKLIN 4-FRANKLIN 3","tx2-8086-8085-1","8086","8085",0.00184,0.06658,0.0,0.0,0.0,205.0,0.0,0.0
"tx2-8084-8083-1:wnd1","FRANKLIN 2-FRANKLIN 1","tx2-8084-8083-1","8084","8083",0.00236,0.06305,0.0,0.0,0.0,184.8,0.0,0.0
"tx2-8088-8082-1:wnd1","FRANKLIN 6-FRANKLIN 0","tx2-8088-8082-1","8088","8082",8.0E-5,0.00591,0.0,0.0,0.0,1307.0,0.0,0.0
"tx2-8087-8082-1:wnd1","FRANKLIN 5-FRANKLIN 0","tx2-8087-8082-1","8087","8082",8.0E-5,0.00888,0.0,0.0,0.0,1315.0,0.0,0.0
"tx2-8083-8082-1:wnd1","FRANKLIN 1-FRANKLIN 0","tx2-8083-8082-1","8083","8082",3.1E-4,0.01574,0.0,0.0,0.0,1134.0,0.0,0.0
"tx2-8076-8075-1:wnd1","MT. ENTERP~3-MT. ENTERP~2","tx2-8076-8075-1","8076","8075",9.9E-4,0.04033,0.0,0.0,0.0,320.0,0.0,0.0
"tx2-8080-8074-1:wnd1","MT. ENTERP~7-MT. ENTERP~1","tx2-8080-8074-1","8080","8074",2.2E-4,0.01762,0.0,0.0,0.0,814.0,0.0,0.0
