"ID","Name","Node1","Node2","R","X","Bch","NormalOperatingLimit","ShortTermLimit","EmergencyLimit"
"ln-1-16-1","BUS_1-BUS_16","1","16",0.00155,0.01169,0.0182,160.0,172.0,184.0
"ln-2-17-1","BUS_2-BUS_17","2","17",0.00155,0.01169,0.0182,160.0,172.0,184.0
"ln-3-10-1","BUS_3-BUS_10","3","10",0.01068,0.07895,0.1226,274.0,294.55,315.1
"ln-4-7-1","BUS_4-BUS_7","4","7",0.01674,0.09711,0.14423,377.0,405.27,433.55
"ln-4-11-1","BUS_4-BUS_11","4","11",0.00293,0.01599,0.02478,335.0,360.12,385.25
"ln-4-14-1","BUS_4-BUS_14","4","14",0.00442,0.03223,0.04985,464.0,498.8,533.6
"ln-4-16-1","BUS_4-BUS_16","4","16",0.00888,0.06665,0.08896,377.0,405.27,433.55
"ln-4-22-1","BUS_4-BUS_22","4","22",0.00783,0.043,0.04962,350.0,376.25,402.5
"ln-5-7-1","BUS_5-BUS_7","5","7",0.00525,0.03988,0.06195,381.0,409.58,438.15
"ln-5-10-1","BUS_5-BUS_10","5","10",0.01459,0.11219,0.16553,381.0,409.58,438.15
"ln-6-8-1","BUS_6-BUS_8","6","8",0.00112,0.01329,0.34125,1316.0,1414.7,1513.4
"ln-6-9-1","BUS_6-BUS_9","6","9",0.00299,0.03675,0.9184,1427.0,1534.03,1641.05
"ln-6-15-1","BUS_6-BUS_15","6","15",0.00298,0.03417,0.93504,1427.0,1534.03,1641.05
"ln-6-31-1","BUS_6-BUS_31","6","31",0.0015,0.01506,0.4032,1385.0,1488.88,1592.75
"ln-7-12-1","BUS_7-BUS_12","7","12",0.01211,0.08742,0.14017,381.0,409.58,438.15
"ln-7-13-1","BUS_7-BUS_13","7","13",0.00205,0.01326,0.02243,335.0,360.12,385.25
"ln-7-19-1","BUS_7-BUS_19","7","19",0.0057,0.0407,0.06021,323.0,347.23,371.45
"ln-7-21-1","BUS_7-BUS_21","7","21",9.3E-4,0.00651,0.01113,160.0,172.0,184.0
"ln-7-29-1","BUS_7-BUS_29","7","29",0.01269,0.07498,0.1302,362.0,389.15,416.3
"ln-8-18-1","BUS_8-BUS_18","8","18",0.00336,0.03977,1.02163,1316.0,1414.7,1513.4
"ln-10-171-1","BUS_10-BUS_171","10","171",0.01409,0.10413,0.15972,464.0,498.8,533.6
"ln-11-16-1","BUS_11-BUS_16","11","16",0.0057,0.03952,0.07553,464.0,498.8,533.6
"ln-11-17-1","BUS_11-BUS_17","11","17",0.0057,0.03952,0.07553,464.0,498.8,533.6
"ln-11-111-1","BUS_11-BUS_111","11","111",0.01068,0.06196,0.09496,394.0,423.55,453.1
"ln-12-140-1","BUS_12-BUS_140","12","140",0.01465,0.10589,0.17085,464.0,498.8,533.6
"ln-13-29-1","BUS_13-BUS_29","13","29",0.01345,0.08114,0.14113,339.0,364.42,389.85
"ln-14-17-1","BUS_14-BUS_17","14","17",0.00384,0.02853,0.04588,464.0,498.8,533.6
"ln-15-18-1","BUS_15-BUS_18","15","18",0.00358,0.04262,1.0944,1662.0,1786.65,1911.3
"ln-15-165-1","BUS_15-BUS_165","15","165",0.00207,0.02474,0.664,831.0,893.33,955.65
"ln-16-73-1","BUS_16-BUS_73","16","73",0.00909,0.0624,0.11142,464.0,498.8,533.6
"ln-17-74-1","BUS_17-BUS_74","17","74",0.00868,0.06405,0.09699,464.0,498.8,533.6
"ln-18-20-1","BUS_18-BUS_20","18","20",6.3E-4,0.00749,0.39226,1427.0,1534.03,1641.05
"ln-18-75-1","BUS_18-BUS_75","18","75",0.00219,0.02369,0.59584,1434.0,1541.55,1649.1
"ln-18-76-1","BUS_18-BUS_76","18","76",0.00137,0.01625,0.41184,1662.0,1786.65,1911.3
"ln-18-101-1","BUS_18-BUS_101","18","101",0.00231,0.02769,0.70144,1662.0,1786.65,1911.3
"ln-19-124-1","BUS_19-BUS_124","19","124",0.01696,0.12366,0.19699,464.0,498.8,533.6
"ln-20-67-1","BUS_20-BUS_67","20","67",0.00331,0.03425,0.85888,831.0,893.33,955.65
"ln-22-112-1","BUS_22-BUS_112","22","112",0.00465,0.02618,0.02962,362.0,389.15,416.3
