ID,GeneratingUnit,FROMP,TOP,FROMPRICE,TOPRICE
1,gen-10-1,0,400,117.95,117.95
2,gen-16-1,0,720,48.89,48.89
3,gen-17-1,0,1080,98.47,98.47
4,gen-18-1,0,2520,128.73,128.73
5,gen-29-1,0,400,158.23,158.23
6,gen-30-1,0,800,165.62,165.62
7,gen-31-1,0,1000,71.22,71.22
8,gen-41-1,0,200,102.25,102.25
9,gen-42-1,0,410,147.83,147.83
10,gen-43-1,0,410,75.37,75.37
11,gen-44-1,0,410,86.01,86.01
12,gen-45-1,0,42.2,100,100
13,gen-63-1,0,650,68.74,68.74
14,gen-64-1,0,450,81.91,81.91
15,gen-67-1,0,750,81.88,81.88
16,gen-83-1,0,225,58.78,58.78
17,gen-84-1,0,225,85.57,85.57
18,gen-85-1,0,120,101.38,101.38
19,gen-86-1,0,120,122.43,122.43
20,gen-93-1,0,120,96.62,96.62
21,gen-95-1,0,110,106.73,106.73
22,gen-97-1,0,87.6,50,50
23,gen-103-1,0,400,151.94,151.94
24,gen-104-1,0,225,107.51,107.51
25,gen-105-1,0,430,103.53,103.53
26,gen-109-1,0,250,55,55
27,gen-110-1,0,250,75,75
28,gen-111-1,0,360,136.48,136.48
29,gen-123-1,0,110,157.46,157.46
30,gen-124-1,0,125,83.97,83.97
31,gen-125-1,0,860.0001,170.74,170.74
32,gen-127-1,0,690,80.91,80.91
33,gen-131-1,0,1060,147.6,147.6
34,gen-132-1,0,600,158.75,158.75
35,gen-139-1,0,600,146.94,146.94
36,gen-140-1,0,200,96.32,96.32
37,gen-176-1,0,600,46.96,46.96
38,gen-177-1,0,200,78.35,78.35
39,gen-180-1,0,0,200,200
40,gen-181-1,0,175,169.5,169.5
41,gen-182-1,0,307.59,20,20
42,gen-184-1,0,0,35.6,35.6
43,gen-185-1,0,0,48.5,48.5
44,gen-186-1,0,0,50.2,50.2
45,gen-192-1,0,95,10.5,10.5
46,gen-196-1,0,0.9,50.2,50.2
47,gen-198-1,0,0.8,64.8,64.8
48,gen-205-1,0,15,25.6,25.6
49,gen-213-1,0,11,26.91,26.91
50,gen-264-1,0,2.5,99.6,99.6
51,gen-269-1,0,6,75.35,75.35
52,gen-277-1,0,70,125.3,125.3
