"ID","MW1","MVAr1","MW2","MVAr2","InService","SETelemMW1","SETelemMVAr1","SETelemMW2","SETelemMVAr2","SESigmaMW1","SESigmaMVAr1","SESigmaMW2","SESigmaMVAr2"
"ln-1-16-1",-74.341965,-13.845825,74.427986,12.625122,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-2-17-1",-101.3318,-26.852417,101.50194,26.309967,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-3-10-1",-125.53925,-10.1688385,127.30213,11.210823,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-4-7-1",116.24057,-11.0713005,-113.895966,10.865974,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-4-11-1",-88.77687,-23.464584,89.03103,22.442627,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-4-14-1",-33.900497,2.8560638,33.954407,-7.2776794,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-4-16-1",-103.883865,-34.33819,104.95896,33.530235,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-4-22-1",12.994528,1.4722824,-12.979698,-6.1706543,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-5-7-1",52.390408,36.4254,-52.161026,-40.67192,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-5-10-1",-36.35223,-9.407139,36.548252,-5.5132866,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-6-8-1",-67.44156,-89.11743,67.555,57.048798,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-6-9-1",82.19948,-44.525528,-81.99094,-41.69483,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-6-15-1",173.2486,-31.703186,-172.31958,-47.475243,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-6-31-1",-497.93445,-9.481049,501.7752,8.625793,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-7-12-1",10.700941,-2.3176193,-10.683929,-10.785294,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-7-13-1",-28.241444,-19.648743,28.26624,17.673492,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-7-19-1",24.333334,-10.889053,-24.293852,5.447769,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-7-21-1",98.10772,-13.072205,-98.01178,12.687683,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-7-29-1",-160.00249,-13.330746,163.43416,20.820618,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-8-18-1",-67.5549,-57.04937,67.711235,-42.741966,true,true,true,true,true,1.0,1.0,1.0,1.0
"ln-10-171-1",132.49059,8.690834,-129.9781,-5.6764603,true,true,true,true,true,1.0,1.0,1.0,1.0
