"ID","MW","MVAr","ConstMvaMW","ConstMvaMVAr","ConstIMW","ConstIMVAr","ConstYMW","ConstYMVAr","InService"
"load-10-1",10.396,7.6499996,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-16-1",46.648,45.0,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-17-1",65.45,77.5,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-18-1",130.05,97.5,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-29-1",18.083,51.0,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-30-1",18.083,51.0,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-31-1",22.833,42.5,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-41-1",10.191,25.5,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-42-1",10.191,25.5,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-43-1",20.383,51.0,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-44-1",25.383,51.0,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-45-1",127.864006,63.75,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-57-1",19.533,9.316,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-58-1",18.683,4.922,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-63-1",31.764,44.786,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-64-1",30.064,47.022,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-65-1",11.382,1.7170001,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-67-1",51.34,78.285,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-83-1",13.590999,19.524,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-84-1",13.421,18.93,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-85-1",8.491,14.458,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-86-1",8.491,14.160999,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-87-1",9.427,13.787,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-93-1",8.491,13.931,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-95-1",5.857,6.927,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-97-1",7.3860006,4.471,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-103-1",25.376999,20.196,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-104-1",35.628,39.194,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-105-1",18.71,33.5,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-109-1",0.85,19.006,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-110-1",0.85,18.853,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-111-1",22.517,15.299999,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-123-1",4.675,5.95,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-124-1",7.471,14.45,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-125-1",30.345,15.555,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-126-1",6.488,13.515,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-127-1",36.853,13.005,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-131-1",58.369,59.500004,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-132-1",28.05,38.25,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-139-1",35.219997,19.21,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-140-1",36.846,16.66,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-176-1",0.0,34.0,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-177-1",0.0,34.0,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-180-1",238.87201,42.16,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-183-1",127.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-184-1",269.739,42.755,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-185-1",308.065,31.195,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-186-1",15.331,0.85,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-187-1",6.052,1.275,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-188-1",6.486,0.85,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-189-1",5.304,7.395,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-190-1",5.202,1.275,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-191-1",5.202,1.36,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-192-1",25.976,10.2,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-193-1",12.988,2.55,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-195-1",6.919,1.7,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-196-1",5.882,1.275,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-197-1",5.882,1.275,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-198-1",10.472,1.445,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-199-1",1.215,0.425,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-200-1",0.918,0.425,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-201-1",4.768,0.425,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-202-1",15.589001,1.7,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-203-1",9.435,1.36,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-205-1",5.882,1.7,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-206-1",9.52,0.85,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-207-1",6.222,1.36,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-208-1",-6.222,-3.8249998,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-209-1",7.956,0.68,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-210-1",12.903001,3.74,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-211-1",7.438,0.17,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-212-1",6.953,1.275,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-213-1",-1.7339998,-0.85,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-214-1",10.217,0.425,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-215-1",5.882,1.7,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-216-1",7.5229993,0.425,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-217-1",2.6490002,0.34,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-218-1",10.387,1.275,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-219-1",2.168,0.425,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-220-1",2.168,0.425,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-221-1",3.4679997,0.425,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-222-1",5.55,0.34,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-223-1",15.853,3.4,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-224-1",16.881,2.125,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-225-1",14.704999,1.7,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-226-1",20.774,1.275,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-227-1",4.768,0.85,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-228-1",9.69,0.935,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-229-1",9.35,2.295,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-230-1",6.486,0.85,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-231-1",6.7490005,0.935,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-232-1",6.7490005,0.935,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-233-1",1.564,0.68,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-234-1",28.441,23.8,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-235-1",28.696001,23.8,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-236-1",0.8669999,0.425,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-237-1",6.8580003,1.445,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-238-1",8.483,0.85,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-239-1",12.988,1.275,1.0,1.0,0.0,0.0,0.0,0.0,true
"load-240-1",9.52,1.275,1.0,1.0,0.0,0.0,0.0,0.0,true
