"ID","Ratio","LTCEnable"
"tx2-355-1-1:tap1",1.0099,false
"tx2-354-2-1:tap1",1.022,false
"tx2-219-3-1:tap1",1.027,false
"tx2-220-3-1:tap1",0.9955,false
"tx2-245-4-1:tap1",1.0594,false
"tx2-246-4-1:tap1",1.0448,false
"tx2-5-6-1:tap1",1.0435,false
"tx2-309-5-1:tap1",1.0646,false
"tx2-309-5-2:tap1",1.0523,false
"tx2-310-6-1:tap1",1.0613,false
"tx2-321-7-1:tap1",1.0323,false
"tx2-322-7-1:tap1",1.0569,false
"tx2-332-9-1:tap1",1.0781,false
"tx2-346-10-1:tap1",1.0054,false
"tx2-347-10-1:tap1",1.024,false
"tx2-352-11-1:tap1",1.0412,false
"tx2-353-11-1:tap1",1.0559,false
"tx2-359-12-1:tap1",1.0395,false
"tx2-360-12-1:tap1",1.059,false
"tx2-365-13-1:tap1",1.0312,false
"tx2-366-13-1:tap1",0.9872,false
"tx2-367-14-1:tap1",1.0664,false
"tx2-368-14-1:tap1",1.0777,false
"tx2-374-15-1:tap1",1.1502,false
"tx2-16-18-1:tap1",1.0605,false
"tx2-17-18-1:tap1",1.0607,false
"tx2-425-19-1:tap1",1.0241,false
"tx2-447-20-1:tap1",1.0796,false
"tx2-448-20-1:tap1",1.0923,false
"tx2-502-21-1:tap1",0.9922,false
"tx2-526-22-1:tap1",1.0685,false
"tx2-527-22-1:tap1",1.0424,false
"tx2-540-23-1:tap1",1.0182,false
"tx2-545-24-1:tap1",1.0161,false
"tx2-564-25-1:tap1",1.0276,false
"tx2-568-26-1:tap1",1.013,false
"tx2-29-32-1:tap1",1.0619,false
"tx2-613-29-1:tap1",1.0016,false
"tx2-615-33-1:tap1",1.0291,false
"tx2-617-35-1:tap1",1.0654,false
"tx2-644-36-1:tap1",1.1003,false
"tx2-645-36-1:tap1",1.0971,false
"tx2-663-37-1:tap1",1.0009,false
"tx2-682-39-1:tap1",1.0603,false
"tx2-679-40-1:tap1",1.0996,false
"tx2-41-43-1:tap1",1.0377,false
"tx2-689-42-1:tap1",1.0037,false
"tx2-706-47-1:tap1",1.0249,false
"tx2-707-47-1:tap1",1.0201,false
"tx2-717-48-1:tap1",1.023,false
"tx2-716-49-1:tap1",1.0238,false
"tx2-726-50-1:tap1",1.0815,false
"tx2-727-51-1:tap1",1.0819,false
"tx2-754-52-1:tap1",1.0317,false
"tx2-778-55-1:tap1",0.9979,false
"tx2-796-56-1:tap1",1.0389,false
"tx2-821-59-1:tap1",1.0178,false
"tx2-834-60-1:tap1",0.9936,false
"tx2-836-60-1:tap1",1.0154,false
"tx2-66-67-1:tap1",1.0616,false
"tx2-911-67-1:tap1",1.0656,false
"tx2-912-67-1:tap1",1.066,false
"tx2-978-68-1:tap1",1.0083,false
"tx2-979-68-1:tap1",1.006,false
"tx2-995-69-1:tap1",1.0107,false
"tx2-996-69-1:tap1",1.0025,false
"tx2-1059-71-1:tap1",1.0193,false
"tx2-1060-71-1:tap1",0.9558,false
"tx2-73-75-1:tap1",1.0544,false
"tx2-74-76-1:tap1",1.0606,false
"tx2-1095-77-1:tap1",1.0162,false
"tx2-1096-77-1:tap1",1.0085,false
"tx2-1106-78-1:tap1",1.0272,false
"tx2-1114-80-1:tap1",0.9876,false
"tx2-1115-81-1:tap1",0.9847,false
"tx2-1138-82-1:tap1",1.0035,false
"tx2-1139-82-1:tap1",1.0148,false
"tx2-1141-83-1:tap1",1.0054,false
"tx2-1192-84-1:tap1",1.001,false
"tx2-1182-85-1:tap1",1.0033,false
"tx2-1184-86-1:tap1",0.9967,false
"tx2-1213-87-1:tap1",1.0209,false
"tx2-1217-89-1:tap1",1.0212,false
"tx2-1244-90-1:tap1",1.0,false
"tx2-1343-91-1:tap1",1.0144,false
"tx2-1382-92-1:tap1",1.0686,false
"tx2-1384-92-1:tap1",1.0794,false
"tx2-1418-93-1:tap1",1.0031,false
"tx2-1426-96-1:tap1",1.0075,false
"tx2-1427-97-1:tap1",0.9996,false
"tx2-1502-98-1:tap1",1.1628,false
"tx2-1504-100-1:tap1",1.0798,false
"tx2-1505-101-1:tap1",1.0818,false
"tx2-1524-102-1:tap1",1.0081,false
"tx2-103-106-1:tap1",1.0641,false
"tx2-1536-103-1:tap1",1.0043,false
"tx2-1538-104-1:tap1",1.004,false
"tx2-1552-107-1:tap1",1.0333,false
"tx2-1553-107-1:tap1",1.0192,false
"tx2-1603-111-1:tap1",1.0034,false
"tx2-1623-113-1:tap1",1.0733,false
"tx2-1624-113-1:tap1",1.0618,false
"tx2-1647-114-1:tap1",1.0504,false
"tx2-1649-115-1:tap1",1.1835,false
"tx2-1650-116-1:tap1",1.1614,false
"tx2-1655-117-1:tap1",1.0335,false
"tx2-1680-118-1:tap1",1.0498,false
"tx2-1686-120-1:tap1",1.0639,false
"tx2-1687-120-1:tap1",1.0532,false
"tx2-1747-121-1:tap1",1.0226,false
"tx2-1748-121-1:tap1",1.028,false
"tx2-1760-123-1:tap1",0.9794,false
"tx2-1762-123-1:tap1",1.0321,false
"tx2-1764-123-1:tap1",0.9407,false
"tx2-1761-124-1:tap1",0.9794,false
"tx2-1763-124-1:tap1",0.9407,false
"tx2-1775-125-1:tap1",1.0176,false
"tx2-126-127-1:tap1",1.0488,false
"tx2-1814-129-1:tap1",1.0499,false
"tx2-1822-130-1:tap1",1.088,false
"tx2-1823-130-1:tap1",1.094,false
"tx2-131-133-1:tap1",1.1147,false
"tx2-1839-131-1:tap1",1.0343,false
"tx2-132-134-1:tap1",1.1147,false
"tx2-1840-132-1:tap1",1.0225,false
"tx2-1845-135-1:tap1",1.0654,false
"tx2-1846-135-1:tap1",1.0626,false
"tx2-1880-138-1:tap1",1.1019,false
"tx2-1881-138-1:tap1",1.1019,false
"tx2-1882-140-1:tap1",1.003,false
"tx2-1902-141-1:tap1",1.0291,false
"tx2-1903-141-1:tap1",1.0279,false
"tx2-1904-142-1:tap1",1.0771,false
"tx2-1905-142-1:tap1",0.9302,false
"tx2-143-145-1:tap1",1.1409,false
"tx2-1907-144-1:tap1",1.0366,false
"tx2-1906-145-1:tap1",1.1273,false
"tx2-1919-147-1:tap1",1.0906,false
"tx2-1920-148-1:tap1",1.0137,false
"tx2-1925-149-1:tap1",1.0317,false
"tx2-1987-150-1:tap1",1.0702,false
"tx2-1988-151-1:tap1",1.0633,false
"tx2-2090-152-1:tap1",1.0646,false
"tx2-2112-154-1:tap1",1.0891,false
"tx2-2113-154-1:tap1",1.0903,false
"tx2-2134-155-1:tap1",1.0712,false
"tx2-156-158-1:tap1",1.1047,false
