"ID","SynchronousMachineOperatingMode","AVRMode","KVSetPoint","MVArSetPoint","MVAr","InService"
"Gen gen-10-1:SM",GEN,ON,220.00047,0.0,27.119833,true
"Gen gen-16-1:SM",GEN,ON,223.26476,0.0,-39.550667,true
"Gen gen-17-1:SM",GEN,ON,220.76057,0.0,-54.349674,true
"Gen gen-18-1:SM",GEN,ON,400.01172,0.0,478.86157,true
"Gen gen-29-1:SM",GEN,ON,221.705,0.0,0.0,true
"Gen gen-30-1:SM",GEN,ON,221.69008,0.0,5.1204443,true
"Gen gen-31-1:SM",GEN,ON,397.27582,0.0,321.02173,true
"Gen gen-41-1:SM",GEN,ON,222.629,0.0,0.0,true
"Gen gen-42-1:SM",GEN,ON,222.61845,0.0,0.0,true
"Gen gen-43-1:SM",GEN,ON,400.00342,0.0,143.24968,true
"Gen gen-44-1:SM",GEN,ON,400.00137,0.0,36.140224,true
"Gen gen-45-1:SM",GEN,ON,219.49422,0.0,11.022872,true
"Gen gen-63-1:SM",GEN,ON,220.00008,0.0,13.270879,true
"Gen gen-64-1:SM",GEN,ON,220.31439,0.0,2.0,true
"Gen gen-67-1:SM",GEN,ON,400.00974,0.0,402.69498,true
"Gen gen-83-1:SM",GEN,ON,220.00032,0.0,26.558018,true
"Gen gen-84-1:SM",GEN,ON,220.0,0.0,-1.102978,true
"Gen gen-85-1:SM",GEN,ON,220.0008,0.0,54.398167,true
"Gen gen-86-1:SM",GEN,ON,220.00032,0.0,26.833233,true
"Gen gen-93-1:SM",GEN,ON,220.05751,0.0,9.895145,true
"Gen gen-95-1:SM",GEN,ON,220.66216,0.0,56.87226,true
"Gen gen-97-1:SM",GEN,ON,220.00063,0.0,46.48684,true
"Gen gen-103-1:SM",GEN,ON,220.01868,0.0,-82.0,true
"Gen gen-104-1:SM",GEN,ON,220.00015,0.0,-19.959272,true
"Gen gen-105-1:SM",GEN,ON,400.00574,0.0,249.28064,true
"Gen gen-109-1:SM",GEN,ON,220.0,0.0,4.346882,true
"Gen gen-110-1:SM",GEN,ON,220.00008,0.0,4.6958966,true
"Gen gen-111-1:SM",GEN,ON,220.0008,0.0,55.191242,true
"Gen gen-123-1:SM",GEN,ON,220.00032,0.0,33.47476,true
"Gen gen-124-1:SM",GEN,ON,220.00032,0.0,27.470993,true
"Gen gen-125-1:SM",GEN,ON,220.00142,0.0,102.897644,true
"Gen gen-127-1:SM",GEN,ON,400.00687,0.0,294.26074,true
"Gen gen-131-1:SM",GEN,ON,228.04799,0.0,0.0,true
"Gen gen-132-1:SM",GEN,ON,228.04759,0.0,2.1863282,true
"Gen gen-139-1:SM",GEN,ON,220.00047,0.0,32.481617,true
"Gen gen-140-1:SM",GEN,ON,220.00047,0.0,37.4809,true
"Gen gen-176-1:SM",GEN,ON,400.00287,0.0,125.43467,true
"Gen gen-177-1:SM",GEN,ON,400.00143,0.0,54.284657,true
"Gen gen-180-1:SM",CON,ON,400.00143,0.0,52.27429,true
"Gen gen-181-1:SM",GEN,ON,219.99985,0.0,-12.198353,true
"Gen gen-182-1:SM",GEN,ON,400.0,0.0,511.97205,true
"Gen gen-184-1:SM",CON,ON,220.00125,0.0,94.57547,true
"Gen gen-185-1:SM",CON,ON,400.00116,0.0,48.17613,true
"Gen gen-186-1:SM",CON,ON,220.0,0.0,-2.717505,true
"Gen gen-192-1:SM",GEN,ON,112.93867,0.0,0.9392023,true
"Gen gen-196-1:SM",GEN,ON,104.9778,0.0,0.0,true
"Gen gen-198-1:SM",GEN,ON,108.63774,0.0,0.0,true
"Gen gen-205-1:SM",GEN,ON,111.36541,0.0,0.0,true
"Gen gen-213-1:SM",GEN,ON,108.217445,0.0,8.0,true
"Gen gen-264-1:SM",GEN,ON,108.66065,0.0,0.0,true
"Gen gen-269-1:SM",GEN,ON,111.85085,0.0,0.0,true
"Gen gen-277-1:SM",GEN,ON,110.00008,0.0,8.905323,true
"Gen gen-278-1:SM",GEN,ON,110.17068,0.0,0.0,true
"Gen gen-279-1:SM",GEN,ON,111.24052,0.0,0.0,true
"Gen gen-281-1:SM",GEN,ON,110.3289,0.0,0.6072484,true
"Gen gen-282-1:SM",GEN,ON,111.586205,0.0,0.0,true
"Gen gen-289-1:SM",GEN,ON,110.0033,0.0,0.26861802,true
"Gen gen-294-1:SM",GEN,ON,110.00498,0.0,1.0,true
"Gen gen-314-1:SM",GEN,ON,108.64606,0.0,1.0,true
"Gen gen-328-1:SM",GEN,ON,113.066444,0.0,0.3714174,true
"Gen gen-329-1:SM",GEN,ON,110.00008,0.0,16.650448,true
"Gen gen-330-1:SM",GEN,ON,115.32735,0.0,1.1186332,true
"Gen gen-331-1:SM",GEN,ON,110.2596,0.0,0.0,true
"Gen gen-334-1:SM",GEN,ON,110.38929,0.0,0.8166816,true
"Gen gen-346-1:SM",GEN,ON,110.5984,0.0,0.0,true
"Gen gen-347-1:SM",GEN,ON,111.67259,0.0,0.0,true
"Gen gen-359-1:SM",GEN,ON,110.1463,0.0,0.0,true
"Gen gen-365-1:SM",GEN,ON,109.8603,0.0,1.3886839,true
"Gen gen-382-1:SM",GEN,ON,108.02554,0.0,4.733533,true
"Gen gen-383-1:SM",GEN,ON,107.36004,0.0,3.161963,true
"Gen gen-385-1:SM",GEN,ON,107.4469,0.0,2.3229432,true
"Gen gen-390-1:SM",GEN,ON,109.1002,0.0,1.0011802,true
"Gen gen-395-1:SM",GEN,ON,112.54036,0.0,0.0,true
"Gen gen-404-1:SM",GEN,ON,108.3489,0.0,0.0,true
"Gen gen-426-1:SM",GEN,ON,106.7902,0.0,0.28825626,true
"Gen gen-444-1:SM",GEN,ON,111.81169,0.0,0.0,true
"Gen gen-451-1:SM",GEN,ON,109.55745,0.0,0.42816028,true
"Gen gen-482-1:SM",GEN,ON,114.21636,0.0,0.0,true
"Gen gen-492-1:SM",GEN,ON,110.63915,0.0,0.0,true
"Gen gen-493-1:SM",GEN,ON,110.7986,0.0,0.0,true
"Gen gen-494-1:SM",GEN,ON,110.000626,0.0,88.63695,true
