"ID","MW1","MVAr1","MW2","MVAr2","InService","SETelemMW1","SETelemMVAr1","SETelemMW2","SETelemMVAr2","SESigmaMW1","SESigmaMVAr1","SESigmaMW2","SESigmaMVAr2"
"tx2-355-1-1:wnd1",-74.25435,-10.155487,74.34199,13.846016,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-354-2-1:wnd1",-101.15887,-19.570065,101.33183,26.854038,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-219-3-1:wnd1",-51.137455,-6.836319,51.183994,8.736324,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-220-3-1:wnd1",-74.25981,2.4648666,74.35528,1.4324188,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-245-4-1:wnd1",-60.069298,-45.533276,60.17369,49.8991,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-246-4-1:wnd1",-37.12457,-13.505554,37.151814,14.645004,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-5-6-1:wnd1",-142.21957,-97.3032,142.4297,107.31602,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-309-5-1:wnd1",-62.82729,-39.212036,62.925003,43.274498,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-309-5-2:wnd1",-63.17787,-23.713589,63.257122,27.008915,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-310-6-1:wnd1",-166.99226,-46.68436,167.49728,67.518326,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-321-7-1:wnd1",-119.1661,-21.576881,119.23065,26.881218,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-322-7-1:wnd1",-101.68023,-52.004814,101.92822,62.1871,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-332-9-1:wnd1",-81.91529,-35.11944,81.99083,41.695786,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-346-10-1:wnd1",1.8765807,8.997917,-1.8755436,-8.940887,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-347-10-1:wnd1",-95.02349,-7.697773,95.13815,14.02235,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-352-11-1:wnd1",-75.47904,-28.795338,75.594475,33.622837,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-353-11-1:wnd1",-69.14622,-29.982853,69.24678,34.18913,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-359-12-1:wnd1",-60.985268,-4.7281265,61.047714,7.3922157,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-360-12-1:wnd1",-35.394875,-22.946358,35.425697,24.244404,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-365-13-1:wnd1",-54.689373,-9.638786,54.743618,11.9075775,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-366-13-1:wnd1",-60.641376,21.089554,60.71079,-18.186283,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-367-14-1:wnd1",-62.97585,-21.81425,63.050686,25.05474,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-368-14-1:wnd1",-51.122677,-30.48668,51.186222,33.144188,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-374-15-1:wnd1",-109.29434,-81.95238,109.62777,95.70732,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-16-18-1:wnd1",282.30597,-157.17392,-281.89554,185.8921,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-17-18-1:wnd1",225.06714,-199.22066,-224.70374,224.64981,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-425-19-1:wnd1",-98.95136,-2.0768166,99.12304,9.1703415,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-447-20-1:wnd1",-59.240005,-31.637383,59.3054,36.026096,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-448-20-1:wnd1",-64.46947,-31.019592,64.54353,35.796356,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-502-21-1:wnd1",-97.841736,20.00761,98.01166,-12.688446,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-526-22-1:wnd1",-60.518158,-53.173923,60.639606,58.253574,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-527-22-1:wnd1",-14.614463,-11.9485855,14.620696,12.20932,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-540-23-1:wnd1",-76.064476,4.2761803,76.14603,-0.38585663,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-545-24-1:wnd1",-45.058514,6.0923576,45.088844,-4.74329,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-564-25-1:wnd1",-39.95867,-10.295773,39.985367,11.623192,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-568-26-1:wnd1",-62.647186,-2.9595375,62.707996,5.6596756,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-29-32-1:wnd1",-140.57198,-194.35959,140.78917,207.75604,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-613-29-1:wnd1",1.9353062,-13.801765,-1.9322455,13.933849,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-615-33-1:wnd1",-80.03747,-14.972973,80.15011,19.773006,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-617-35-1:wnd1",-48.567528,-45.498085,48.6291,48.25821,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-644-36-1:wnd1",-120.41179,-50.547886,120.67695,62.435055,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-645-36-1:wnd1",-118.74621,-45.420837,119.02938,56.81448,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-663-37-1:wnd1",-38.329464,5.1856995,38.353237,-4.1841507,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-682-39-1:wnd1",-70.96115,-31.495953,71.05052,35.34336,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-679-40-1:wnd1",-123.21315,-73.55499,123.54258,88.22661,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-41-43-1:wnd1",-41.747147,-73.81592,41.808174,76.07651,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-689-42-1:wnd1",-63.651062,-9.095764,63.71034,11.891556,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-706-47-1:wnd1",-64.976906,-11.030388,65.04694,14.052391,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-707-47-1:wnd1",-65.1161,-4.2243958,65.18756,7.159233,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-717-48-1:wnd1",-69.22139,-15.203285,69.305756,18.714046,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-716-49-1:wnd1",-68.65429,-16.391182,68.72781,19.90347,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-726-50-1:wnd1",-68.54296,-43.3115,68.63937,47.528267,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-727-51-1:wnd1",-66.455605,-42.948532,66.54816,47.070026,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-754-52-1:wnd1",-15.918199,-16.369629,15.9268675,16.728687,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-778-55-1:wnd1",-71.452736,10.124207,71.53738,-6.56929,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-796-56-1:wnd1",-94.68926,-13.443851,94.87927,19.967842,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-821-59-1:wnd1",-55.162766,-28.848934,55.230434,31.945896,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-834-60-1:wnd1",-65.77072,20.6419,65.8382,-16.88509,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-836-60-1:wnd1",-50.530537,-11.818695,50.6354,15.601921,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-66-67-1:wnd1",-104.85239,-106.14548,104.92471,111.03134,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-911-67-1:wnd1",82.563,-48.46983,-82.40971,55.59063,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-912-67-1:wnd1",49.835976,-54.633045,-49.743416,59.309864,true,true,true,true,true,1.0,1.0,1.0,1.0
"tx2-978-68-1:wnd1",11.563524,-14.738464,-11.557794,15.290928,true,true,true,true,true,1.0,1.0,1.0,1.0
