"ID","SynchronousMachine","MW","MinMVAr","MaxMVAr"
"gen-10-1_crv1",Gen gen-10-1:SM,70.0,0.0,120.0
"gen-16-1_crv1",Gen gen-16-1:SM,120.0,-40.0,440.0
"gen-17-1_crv1",Gen gen-17-1:SM,120.0,-60.0,660.0
"gen-18-1_crv1",Gen gen-18-1:SM,120.0,-140.0,1540.0
"gen-29-1_crv1",Gen gen-29-1:SM,70.0,0.0,240.0
"gen-30-1_crv1",Gen gen-30-1:SM,70.0,0.0,240.0
"gen-31-1_crv1",Gen gen-31-1:SM,150.0,0.0,350.0
"gen-41-1_crv1",Gen gen-41-1:SM,70.0,0.0,120.0
"gen-42-1_crv1",Gen gen-42-1:SM,70.0,0.0,120.0
"gen-43-1_crv1",Gen gen-43-1:SM,70.0,0.0,240.0
"gen-44-1_crv1",Gen gen-44-1:SM,70.0,0.0,240.0
"gen-45-1_crv1",Gen gen-45-1:SM,39.14,0.0,21.0
"gen-63-1_crv1",Gen gen-63-1:SM,145.0,0.0,302.0
"gen-64-1_crv1",Gen gen-64-1:SM,145.0,2.0,311.0
"gen-67-1_crv1",Gen gen-67-1:SM,220.0,0.0,449.0
"gen-83-1_crv1",Gen gen-83-1:SM,140.0,-89.0,190.0
"gen-84-1_crv1",Gen gen-84-1:SM,140.0,-89.0,190.0
"gen-85-1_crv1",Gen gen-85-1:SM,40.0,-50.0,125.0
"gen-86-1_crv1",Gen gen-86-1:SM,40.0,-50.0,125.0
"gen-93-1_crv1",Gen gen-93-1:SM,80.0,5.0,90.0
"gen-95-1_crv1",Gen gen-95-1:SM,50.0,27.0,68.0
"gen-97-1_crv1",Gen gen-97-1:SM,83.26,27.0,68.0
"gen-103-1_crv1",Gen gen-103-1:SM,160.0,-82.0,177.0
"gen-104-1_crv1",Gen gen-104-1:SM,140.0,-177.0,379.0
"gen-105-1_crv1",Gen gen-105-1:SM,160.0,-165.0,353.0
"gen-109-1_crv1",Gen gen-109-1:SM,80.0,0.0,65.0
"gen-110-1_crv1",Gen gen-110-1:SM,80.0,0.0,65.0
"gen-111-1_crv1",Gen gen-111-1:SM,40.0,0.0,270.0
"gen-123-1_crv1",Gen gen-123-1:SM,20.0,0.0,40.0
"gen-124-1_crv1",Gen gen-124-1:SM,45.0,0.0,90.0
"gen-125-1_crv1",Gen gen-125-1:SM,70.0,0.0,360.0
"gen-127-1_crv1",Gen gen-127-1:SM,70.0,0.0,360.0
"gen-131-1_crv1",Gen gen-131-1:SM,70.0,0.0,360.0
"gen-132-1_crv1",Gen gen-132-1:SM,70.0,0.0,480.0
"gen-139-1_crv1",Gen gen-139-1:SM,70.0,0.0,360.0
"gen-140-1_crv1",Gen gen-140-1:SM,70.0,0.0,120.0
"gen-176-1_crv1",Gen gen-176-1:SM,70.0,-120.0,220.0
"gen-177-1_crv1",Gen gen-177-1:SM,70.0,-120.0,220.0
"gen-180-1_crv1",Gen gen-180-1:SM,0.0,-99999.0,99999.0
"gen-181-1_crv1",Gen gen-181-1:SM,174.0,-99999.0,99999.0
"gen-182-1_crv1",Gen gen-182-1:SM,306.0,-99999.0,99999.0
"gen-184-1_crv1",Gen gen-184-1:SM,0.0,-99999.0,99999.0
"gen-185-1_crv1",Gen gen-185-1:SM,0.0,-99999.0,99999.0
"gen-186-1_crv1",Gen gen-186-1:SM,0.0,-99999.0,99999.0
"gen-192-1_crv1",Gen gen-192-1:SM,90.25,0.0,50.0
"gen-196-1_crv1",Gen gen-196-1:SM,0.86,0.0,1.0
