"ID","Name","Transformer","Node1","Node2","R","X","Gmag","Bmag","PhaseShift","NormalOperatingLimit","ShortTermLimit","EmergencyLimit"
"tx2-355-1-1:wnd1","BUS_355-BUS_1","tx2-355-1-1","355","1",0.00157,0.06612,0.0,0.0,0.0,160.0,172.0,184.0
"tx2-354-2-1:wnd1","BUS_354-BUS_2","tx2-354-2-1","354","2",0.00157,0.06612,0.0,0.0,0.0,160.0,172.0,184.0
"tx2-219-3-1:wnd1","BUS_219-BUS_3","tx2-219-3-1","219","3",0.00165,0.06736,0.0,0.0,0.0,160.0,172.0,184.0
"tx2-220-3-1:wnd1","BUS_220-BUS_3","tx2-220-3-1","220","3",0.00165,0.06736,0.0,0.0,0.0,160.0,172.0,184.0
"tx2-245-4-1:wnd1","BUS_245-BUS_4","tx2-245-4-1","245","4",0.00165,0.06901,0.0,0.0,0.0,160.0,172.0,184.0
"tx2-246-4-1:wnd1","BUS_246-BUS_4","tx2-246-4-1","246","4",0.00165,0.06901,0.0,0.0,0.0,160.0,172.0,184.0
"tx2-5-6-1:wnd1","BUS_5-BUS_6","tx2-5-6-1","5","6",6.4E-4,0.0305,0.0,0.0,-0.6,400.0,430.0,460.0
"tx2-309-5-1:wnd1","BUS_309-BUS_5","tx2-309-5-1","309","5",0.00165,0.0686,0.0,0.0,0.0,160.0,172.0,184.0
"tx2-309-5-2:wnd1","BUS_309-BUS_5","tx2-309-5-2","309","5",0.00165,0.0686,0.0,0.0,0.0,160.0,172.0,184.0
"tx2-310-6-1:wnd1","BUS_310-BUS_6","tx2-310-6-1","310","6",0.0015,0.06188,0.0,0.0,0.0,250.0,268.75,287.5
"tx2-321-7-1:wnd1","BUS_321-BUS_7","tx2-321-7-1","321","7",4.1E-4,0.03368,0.0,0.0,0.0,250.0,268.75,287.5
"tx2-322-7-1:wnd1","BUS_322-BUS_7","tx2-322-7-1","322","7",0.00165,0.06775,0.0,0.0,0.0,160.0,172.0,184.0
"tx2-332-9-1:wnd1","BUS_332-BUS_9","tx2-332-9-1","332","9",8.7E-4,0.05244,0.0,-0.02144,0.0,330.0,354.75,379.5
"tx2-346-10-1:wnd1","BUS_346-BUS_10","tx2-346-10-1","346","10",0.00124,0.06839,0.0,0.0,0.0,160.0,172.0,184.0
"tx2-347-10-1:wnd1","BUS_347-BUS_10","tx2-347-10-1","347","10",0.00124,0.06839,0.0,0.0,0.0,160.0,172.0,184.0
"tx2-352-11-1:wnd1","BUS_352-BUS_11","tx2-352-11-1","352","11",0.00165,0.06901,0.0,0.0,0.0,160.0,172.0,184.0
"tx2-353-11-1:wnd1","BUS_353-BUS_11","tx2-353-11-1","353","11",0.00165,0.06901,0.0,0.0,0.0,160.0,172.0,184.0
"tx2-359-12-1:wnd1","BUS_359-BUS_12","tx2-359-12-1","359","12",0.00155,0.06612,0.0,0.0,0.0,160.0,172.0,184.0
"tx2-360-12-1:wnd1","BUS_360-BUS_12","tx2-360-12-1","360","12",0.00157,0.06612,0.0,0.0,0.0,160.0,172.0,184.0
"tx2-365-13-1:wnd1","BUS_365-BUS_13","tx2-365-13-1","365","13",0.00165,0.06901,0.0,0.0,0.0,160.0,172.0,184.0
"tx2-366-13-1:wnd1","BUS_366-BUS_13","tx2-366-13-1","366","13",0.00165,0.06901,0.0,0.0,0.0,160.0,172.0,184.0
"tx2-367-14-1:wnd1","BUS_367-BUS_14","tx2-367-14-1","367","14",0.00157,0.06798,0.0,0.0,0.0,160.0,172.0,184.0
"tx2-368-14-1:wnd1","BUS_368-BUS_14","tx2-368-14-1","368","14",0.00165,0.06901,0.0,0.0,0.0,160.0,172.0,184.0
"tx2-374-15-1:wnd1","BUS_374-BUS_15","tx2-374-15-1","374","15",0.0015,0.06188,0.0,0.0,0.0,250.0,268.75,287.5
"tx2-16-18-1:wnd1","BUS_16-BUS_18","tx2-16-18-1","16","18",3.6E-4,0.02519,0.0,0.0,0.0,500.0,537.5,575.0
"tx2-17-18-1:wnd1","BUS_17-BUS_18","tx2-17-18-1","17","18",3.6E-4,0.02519,0.0,0.0,0.0,500.0,537.5,575.0
"tx2-425-19-1:wnd1","BUS_425-BUS_19","tx2-425-19-1","425","19",0.00165,0.06818,0.0,0.0,0.0,160.0,172.0,184.0
"tx2-447-20-1:wnd1","BUS_447-BUS_20","tx2-447-20-1","447","20",0.00137,0.06119,0.0,-0.01504,0.0,250.0,268.75,287.5
"tx2-448-20-1:wnd1","BUS_448-BUS_20","tx2-448-20-1","448","20",0.00137,0.06119,0.0,-0.01504,0.0,250.0,268.75,287.5
"tx2-502-21-1:wnd1","BUS_502-BUS_21","tx2-502-21-1","502","21",0.00165,0.07107,0.0,0.0,0.0,160.0,172.0,184.0
"tx2-526-22-1:wnd1","BUS_526-BUS_22","tx2-526-22-1","526","22",0.00165,0.06901,0.0,0.0,0.0,160.0,172.0,184.0
"tx2-527-22-1:wnd1","BUS_527-BUS_22","tx2-527-22-1","527","22",0.00165,0.06901,0.0,0.0,0.0,160.0,172.0,184.0
"tx2-540-23-1:wnd1","BUS_540-BUS_23","tx2-540-23-1","540","23",0.0014,0.0668,0.0,0.0,0.0,160.0,172.0,184.0
"tx2-545-24-1:wnd1","BUS_545-BUS_24","tx2-545-24-1","545","24",0.00151,0.06715,0.0,0.0,0.0,160.0,172.0,184.0
"tx2-564-25-1:wnd1","BUS_564-BUS_25","tx2-564-25-1","564","25",0.00157,0.07808,0.0,0.0,0.0,160.0,172.0,184.0
"tx2-568-26-1:wnd1","BUS_568-BUS_26","tx2-568-26-1","568","26",0.00149,0.06616,0.0,0.0,0.0,160.0,172.0,184.0
